target_code;target_content;NACE_level1;NACE_level1_extra1;NACE_level1_extra2;NACE_level2;NACE_level2_extra1;NACE_level2_extra2;NACE_level_3;NACE_level_3_extra1;NACE_level_3_extra2;justification;confidence_score
TA1.1;Climate Neutrality (2040 target under discussion);D - Electricity, Gas, Steam and Air Conditioning Supply;C - Manufacturing;H - Transportation and Storage;D35 - Electricity, gas, steam and air conditioning supply;C28 - Manufacture of machinery and equipment n.e.c.;H49 - Land transport and transport via pipelines;D35.1 - Electric power generation, transmission and distribution;C28.9 - Manufacture of other special-purpose machinery;H49.5 - Transport via pipeline;Climate neutrality involves energy production, manufacturing, and transportation sectors to reduce emissions.;8
TA1.10;The total quantity of allowances for the new emissions trading system should follow a linear trajectory to reach the emission reduction target for 2030, taking into account the cost-efficient contribution of the buildings and road transport sectors of 43 % emission reductions by 2030 compared to 2005 and of the additional sectors, a combined cost-efficient contribution of 42 % emission reductions by 2030 compared to 2005.;D - Electricity, Gas, Steam and Air Conditioning Supply;F - Construction;H - Transportation and Storage;D35 - Electricity, gas, steam and air conditioning supply;F41 - Construction of buildings;H49 - Land transport and transport via pipelines;D35.1 - Electric power generation, transmission and distribution;F41.2 - Construction of residential and non-residential buildings;H49.2 - Freight rail transport;The target includes energy production, building construction, and transportation for emission reductions.;9
TA1.11;Upgrade national targets in line with an EU-wide reduction of 40% in the ESR sectors compared to 2005. Member States contribute to the overall EU reduction in 2030 with targets ranging from -10% to -50% below 2005 level (sectors: transport, buildings, agriculture and waste);H - Transportation and Storage;F - Construction;A - Agriculture, Forestry and Fishing;H49 - Land transport and transport via pipelines;F42 - Civil engineering;A1 - Crop and animal production, hunting and related service activities;H49.2 - Freight rail transport;F42.1 - Construction of roads and railways;A1.1 - Growing of non-perennial crops;This target focuses on transport, construction, agriculture, and waste sectors' emissions.;8
TA1.12;Achieve an EU net greenhouse gas removal of 310 million tonnes CO2 equivalent per year for the land use, land use change and forestry (LULUCF) sector;A - Agriculture, Forestry and Fishing;;;A2 - Forestry and logging;;;A2.4 - Support services to forestry;;;The focus is on land use and forestry for greenhouse gas removal.;9
TA1.13;For the period from 2021 to 2025 each Member State shall ensure that greenhouse gas emissions from the sector do not exceed greenhouse gas removals, calculated as the sum of total emissions and total removals on its territory in all of the land accounting categories (no debit rule). The accounting benchmark for the EU is ca. -229 Mt CO2e/yr for 2021-2025.;A - Agriculture, Forestry and Fishing;;E - Water Supply, Sewerage, Waste Management and Remediation Activities;A3 - Fishing and aquaculture;E38 - Waste collection, treatment and disposal activities, materials recovery;A3.2 - Aquaculture;E38.2 - Waste treatment and disposal;;The target involves balancing emissions and removals, particularly in agriculture and waste management.;7;
TA1.14;Each Member State shall ensure that the annual sum of its greenhouse gas emissions and removals on its territory and in all of the land reporting categories, in each year in the period from 2026 to 2030, does not exceed the limit established by a linear trajectory, ending in 2030 on the target set out for that Member State(no debit rule);A - Agriculture, Forestry and Fishing;;;A1 - Crop and animal production, hunting and related service activities;;;A1.6 - Support activities to agriculture and post-harvest crop activities;;;Focuses on balancing emissions and removals in land use and agriculture.;8
TA1.15;Reduce buildings’ greenhouse gas emissions by 60%, compared to 2015 levels, by 2030;F - Construction;D - Electricity, Gas, Steam and Air Conditioning Supply;C - Manufacturing;F41 - Construction of buildings;D35 - Electricity, gas, steam and air conditioning supply;C27 - Manufacture of electrical equipment;F41.2 - Construction of residential and non-residential buildings;D35.1 - Electric power generation, transmission and distribution;C27.2 - Manufacture of batteries and accumulators;Emphasis on construction, energy efficiency, and manufacturing for building emissions reduction.;9
TA1.16;To achieve 55% reduction of GHG emission by 2030, methane emissions related to energy production and consumption should be reduced by 58% compared to the level in 2020;D - Electricity, Gas, Steam and Air Conditioning Supply;C - Manufacturing;H - Transportation and Storage;D35 - Electricity, gas, steam and air conditioning supply;C20 - Manufacture of chemicals and chemical products;H49 - Land transport and transport via pipelines;D35.2 - Manufacture of gas, distribution of gaseous fuels through mains;C20.2 - Manufacture of pesticides and other agrochemical products;H49.5 - Transport via pipeline;Targets methane emissions in energy, manufacturing, and transportation sectors.;8
TA1.2;2040 target under discussion;D - Electricity, Gas, Steam and Air Conditioning Supply;C - Manufacturing;H - Transportation and Storage;D35 - Electricity, gas, steam and air conditioning supply;C28 - Manufacture of machinery and equipment n.e.c.;H49 - Land transport and transport via pipelines;D35.1 - Electric power generation, transmission and distribution;C28.9 - Manufacture of other special-purpose machinery;H49.5 - Transport via pipeline;Energy, manufacturing, and transportation are key sectors for achieving future targets.;7
TA1.3;Reduce of 55% GHG emissions compared to 1990 levels (2040 target under discussion);D - Electricity, Gas, Steam and Air Conditioning Supply;C - Manufacturing;H - Transportation and Storage;D35 - Electricity, gas, steam and air conditioning supply;C28 - Manufacture of machinery and equipment n.e.c.;H49 - Land transport and transport via pipelines;D35.1 - Electric power generation, transmission and distribution;C28.9 - Manufacture of other special-purpose machinery;H49.5 - Transport via pipeline;Involves significant reductions in energy, manufacturing, and transportation sectors.;8
