target_code;target_content;NACE_level1;NACE_level1_extra1;NACE_level1_extra2;NACE_level2;NACE_level2_extra1;NACE_level2_extra2;NACE_level_3;NACE_level_3_extra1;NACE level3_extra2;justification;confidence_score
TA3.1;Halve the amount of residual (non-recycled) municipal waste;E - Water Supply, Sewerage, Waste Management and Remediation Activities;;;E38 - Waste collection, treatment and disposal activities, materials recovery;;;E38.1 - Waste collection;E38.2 - Waste treatment and disposal;;The target focuses on waste management and reduction, which aligns with waste collection and treatment activities.;9
TA3.10;Union's access to a secure and sustainable supply of critical raw materials by ensuring that the Union's recycling capacity, including for all intermediate recycling steps, is able to produce at least 15% of the Union's annual consumption of strategic raw materials;C - Manufacturing;;;C26 - Manufacture of computer, electronic and optical products;C24 - Manufacture of basic metals;C23 - Manufacture of other non-metallic mineral products;C26.1 - Manufacture of electronic components and boards;C24.1 - Manufacture of basic iron and steel and of ferro-alloys;;The target involves recycling and manufacturing processes related to critical raw materials.;8
TA3.11;Diversify the Union's imports of strategic raw materials with a view to ensure that the Union's annual consumption of each strategic raw material at any relevant stage of processing can rely on imports from several third countries, none of which provide more than 65% of the Union's annual consumption;B - Mining and Quarrying;C - Manufacturing;;B7 - Mining of metal ores;C24 - Manufacture of basic metals;;B7.1 - Mining of iron ores;C24.1 - Manufacture of basic iron and steel and of ferro-alloys;;The target focuses on the diversification of raw material sources, which involves mining and manufacturing.;7
TA3.12;By 2030, manufacturing capacity in the Union of the strategic net-zero technologies listed in the Annex approaches or reaches a benchmark of at least 40% of the Union’s annual deployment needs for the corresponding technologies necessary to achieve the Union’s 2030 climate and energy targets;C - Manufacturing;D - Electricity, Gas, Steam and Air Conditioning Supply;;C26 - Manufacture of computer, electronic and optical products;D35 - Electricity, gas, steam and air conditioning supply;;C26.1 - Manufacture of electronic components and boards;D35.1 - Electric power generation, transmission and distribution;;The target is related to manufacturing capacity for net-zero technologies, which involves both manufacturing and energy supply sectors.;8
TA3.13;nan;;;;;;;nan;;;No content available.;0
TA3.14;nan;;;;;;;nan;;;No content available.;0
TA3.15;Producers of portable batteries or, where appointed in accordance with Article 57(1), producer responsibility organisations, shall ensure that all waste portable batteries, Light Means of Transport (LMT) and SLI batteries, regardless of their nature, chemical composition, condition, brand or origin, are collected separately in the territory of a Member State where they make these batteries available on the market for the first time.;E - Water Supply, Sewerage, Waste Management and Remediation Activities;;;E38 - Waste collection, treatment and disposal activities, materials recovery;;;E38.3 - Materials recovery;;;The target is about the collection and management of battery waste, aligning with waste management activities.;9
TA3.16;Producers of portable batteries or producer responsibility organisations, shall attain, and maintain durably, at least the following collection targets for waste portable batteries: 45 % by 31 December 2023, 63 % by 31 December 2027, 73 % by 31 December 2030.;E - Water Supply, Sewerage, Waste Management and Remediation Activities;;;E38 - Waste collection, treatment and disposal activities, materials recovery;;;E38.3 - Materials recovery;;;The target specifies collection targets for battery waste, which falls under waste management activities.;9
TA3.17;Producers of LMT (Light Means of Transport) batteries or producer responsibility organisations, shall attain, and maintain durably, at least the following collection targets of waste LMT batteries: 51 % by 31 December 2028, 61 % by 31 December 2031.;E - Water Supply, Sewerage, Waste Management and Remediation Activities;;;E38 - Waste collection, treatment and disposal activities, materials recovery;;;E38.3 - Materials recovery;;;The target focuses on collection targets for LMT battery waste, aligning with waste management activities.;9
TA3.18;Recycled content in industrial batteries, electric vehicle batteries, LMT batteries and SLI batteries: Cobalt: 16 % by 2031 (26% by 2036), Lead: 85% (85%), Nickel: 6% (12%), Lithium 6% (15%);C - Manufacturing;;;C27 - Manufacture of electrical equipment;C24 - Manufacture of basic metals;;C27.2 - Manufacture of batteries and accumulators;C24.4 - Manufacture of basic precious and other non-ferrous metals;;The target involves the recycling and manufacturing of batteries, which relates to the manufacturing of electrical equipment and metals.;8
TA3.19;All batteries incorporated in market products shall be readily removable and replaceable by the end-user at any time during the lifetime (except some derogations);C - Manufacturing;;;C27 - Manufacture of electrical equipment;;;C27.2 - Manufacture of batteries and accumulators;;;The target is about the design and manufacturing of batteries, aligning with the manufacturing of electrical equipment.;8
TA3.2;Reduce landfill to a maximum of 10% of municipal waste;E - Water Supply, Sewerage, Waste Management and Remediation Activities;;;E38 - Waste collection, treatment and disposal activities, materials recovery;;;E38.2 - Waste treatment and disposal;;;The target focuses on reducing landfill waste, which is a key aspect of waste management activities.;9
TA3.20;Recycling shall achieve at least the following targets for recycling efficiency: No later than 31 December 2025 - 75% by average weight of lead-acid batteries, - 80% by average weight of nickel-cadmium batteries - 50% by average weight of other waste batteries No later than 31 December 2030 - 80% by average weight of lead-acid batteries;E - Water Supply, Sewerage, Waste Management and Remediation Activities;;;E38 - Waste collection, treatment and disposal activities, materials recovery;;;E38.3 - Materials recovery;;;The target sets recycling efficiency targets for batteries, which is part of waste management activities.;9
