target_code;target_content;NACE_level1;NACE_level1_extra1;NACE_level1_extra2;NACE_level2;NACE_level2_extra1;NACE_level2_extra2;NACE_level_3;NACE_level_3_extra1;NACE level3_extra2;justification;confidence_score
TA6.1;Legally protect a minimum of 30% of the EU's land area;O - Public Administration and Defence, Compulsory Social Security;A - Agriculture, Forestry and Fishing;;O84 - Public administration and defence, compulsory social security;A2 - Forestry and logging;;O84.1 - Administration of the State and the economic and social policy of the community;A2.1 - Silviculture and other forestry activities;;This target involves legal protection and land management, which aligns with public administration and forestry activities.;8
TA6.10;At least 10% of agricultural area is under high-diversity landscape features;A - Agriculture, Forestry and Fishing;M - Professional, Scientific and Technical Activities;;A1 - Crop and animal production, hunting and related service activities;M71 - Architectural and engineering activities, technical testing and analysis;;A1.1 - Growing of non-perennial crops;M71.1 - Architectural and engineering activities and related technical consultancy;;This target focuses on agricultural land management and biodiversity, involving agriculture and technical consultancy.;9
TA6.11;Three billion trees are planted in the EU, in full respect of ecological principles;A - Agriculture, Forestry and Fishing;S - Other Service Activities;;A2 - Forestry and logging;S96 - Other personal service activities;;A2.1 - Silviculture and other forestry activities;S96.0 - Other personal service activities;;Tree planting is primarily a forestry activity, with potential involvement of service activities for implementation.;8
TA6.12;Significant progress in the remediation of contaminated soil sites;E - Water Supply, Sewerage, Waste Management and Remediation Activities;F - Construction;;E39 - Remediation activities and other waste management services;F43 - Specialised construction activities;;E39.0 - Remediation activities and other waste management services;F43.2 - Electrical, plumbing and other construction installation activities;;Remediation of soil involves waste management and specialised construction activities.;9
TA6.13;At least 25,000 km of free-flowing rivers are restored;E - Water Supply, Sewerage, Waste Management and Remediation Activities;F - Construction;;E36 - Water collection, treatment and supply;F42 - Civil engineering;;E36.0 - Water collection, treatment and supply;F42.1 - Construction of roads and railways;;Restoration of rivers involves water management and civil engineering activities.;9
TA6.14;There is a 50% reduction in the number of Red List species threatened by invasive alien species;A - Agriculture, Forestry and Fishing;M - Professional, Scientific and Technical Activities;;A3 - Fishing and aquaculture;M72 - Scientific research and development;;A3.1 - Fishing;M72.1 - Research and experimental development on natural sciences and engineering;;This target involves biodiversity conservation, which relates to fishing and scientific research.;8
TA6.15;The losses of nutrients from fertilisers are reduced by 50%, resulting in the reduction of the use of fertilisers by at least 20%;A - Agriculture, Forestry and Fishing;C - Manufacturing;;A1 - Crop and animal production, hunting and related service activities;C20 - Manufacture of chemicals and chemical products;;A1.1 - Growing of non-perennial crops;C20.2 - Manufacture of pesticides and other agrochemical products;;The target focuses on agriculture and the manufacturing of fertilisers.;9
TA6.16;Cities with at least 20,000 inhabitants have an ambitious Urban Greening Plan;O - Public Administration and Defence, Compulsory Social Security;M - Professional, Scientific and Technical Activities;;O84 - Public administration and defence, compulsory social security;M71 - Architectural and engineering activities, technical testing and analysis;;O84.1 - Administration of the State and the economic and social policy of the community;M71.1 - Architectural and engineering activities and related technical consultancy;;Urban greening involves public administration and technical consultancy for planning.;8
TA6.17;The negative impacts on sensitive species and habitats, including on the seabed through fishing and extraction activities, are substantially reduced to achieve good environmental status;A - Agriculture, Forestry and Fishing;B - Mining and Quarrying;;A3 - Fishing and aquaculture;B8 - Other mining and quarrying;;A3.1 - Fishing;B8.1 - Quarrying of stone, sand and clay;;This target addresses the impacts of fishing and extraction activities on habitats.;8
TA6.18;The by-catch of species is eliminated or reduced to a level that allows species recovery and conservation;A - Agriculture, Forestry and Fishing;M - Professional, Scientific and Technical Activities;;A3 - Fishing and aquaculture;M72 - Scientific research and development;;A3.1 - Fishing;M72.1 - Research and experimental development on natural sciences and engineering;;The target focuses on fishing practices and scientific research for species conservation.;8
