target_code;target_content;NACE_level1;NACE_level1_extra1;NACE_level1_extra2;NACE_level2;NACE_level2_extra1;NACE_level2_extra2;NACE_level_3;NACE_level_3_extra1;NACE_level_3_extra2;justification;confidence_score
TA6.36;(terrestrial, coastal and freshwater ecosystems) Member States shall put in place the restoration measures for the terrestrial, coastal and freshwater habitats of the species listed in Annexes II, IV and V to Directive 92/43/EEC and of the terrestrial, coastal and freshwater habitats of wild birds covered by Directive 2009/147/EC that are, in addition to the restoration measures in accordance with paragraphs 1 and 2 of this Article, necessary to improve the quality and quantity of those habitats, including by re-establishing them, and to enhance connectivity, until sufficient quality and quantity of those habitats is achieved;A - Agriculture, Forestry and Fishing;E - Water Supply, Sewerage, Waste Management and Remediation Activities;M - Professional, Scientific and Technical Activities;A1 - Crop and animal production, hunting and related service activities;E39 - Remediation activities and other waste management services;M71 - Architectural and engineering activities, technical testing and analysis;A1.1 - Growing of non-perennial crops;E39.0 - Remediation activities and other waste management services;M71.1 - Architectural and engineering activities and related technical consultancy;The target involves habitat restoration and connectivity, requiring agriculture, waste management, and technical planning.;9
TA6.37;(terrestrial, coastal and freshwater ecosystems) Member States shall ensure that the condition is known for at least 90% of area distributed overall habitat types listed in Annex I by 2030 and 100% by 2040.;A - Agriculture, Forestry and Fishing;M - Professional, Scientific and Technical Activities;O - Public Administration and Defence, Compulsory Social Security;A1 - Crop and animal production, hunting and related service activities;M72 - Scientific research and development;O84 - Public administration and defence, compulsory social security;A1.1 - Growing of non-perennial crops;M72.1 - Research and experimental development on natural sciences and engineering;O84.1 - General public administration activities;The target involves monitoring habitat conditions, requiring agriculture, scientific research, and public administration.;8
TA6.38;(terrestrial, coastal and freshwater ecosystems) Member States shall ensure that there is: (a) an increase of habitat area in good condition for habitat types listed in Annex I until at least 90 % is in good condition and until the favourable reference area for each habitat type in each biogeographic region of the Member State concerned is reached, (b) an increasing trend towards the sufficient quality and quantity of the terrestrial, coastal and freshwater habitats of the species referred to in Annexes II, IV and V to Directive 92/43/EEC and of the species covered by Directive 2009/147/EC;A - Agriculture, Forestry and Fishing;E - Water Supply, Sewerage, Waste Management and Remediation Activities;M - Professional, Scientific and Technical Activities;A1 - Crop and animal production, hunting and related service activities;E39 - Remediation activities and other waste management services;M71 - Architectural and engineering activities, technical testing and analysis;A1.1 - Growing of non-perennial crops;E39.0 - Remediation activities and other waste management services;M71.1 - Architectural and engineering activities and related technical consultancy;The target focuses on improving habitat conditions, involving agriculture, waste management, and technical planning.;9
TA6.39;(urban ecosystems) Member States shall ensure that there is no net loss in the total national area of urban green space, and of urban tree canopy cover in urban ecosystem areas. Member States may exclude from that total national area the urban ecosystem areas in which the share of urban green space in the urban centres and urban clusters exceeds 45 % and the share of urban tree canopy cover therein exceeds 10 %;M - Professional, Scientific and Technical Activities;N - Administrative and Support Service Activities;O - Public Administration and Defence, Compulsory Social Security;M71 - Architectural and engineering activities, technical testing and analysis;N81 - Services to buildings and landscape activities;O84 - Public administration and defence, compulsory social security;M71.1 - Architectural and engineering activities and related technical consultancy;N81.3 - Landscape service activities;O84.1 - General public administration activities;The target involves urban green space management, requiring technical consultancy, landscape services, and public administration.;9
TA6.4;Strictly protect all remaining EU primary and old-growth forests (target partially in common with the Forest Strategy);O - Public Administration and Defence, Compulsory Social Security;A - Agriculture, Forestry and Fishing;M - Professional, Scientific and Technical Activities;O84 - Public administration and defence, compulsory social security;A2 - Forestry and logging;M71 - Architectural and engineering activities, technical testing and analysis;O84.1 - General public administration activities;A2.1 - Silviculture and other forestry activities;M71.1 - Architectural and engineering activities and related technical consultancy;The target involves legal protection and management of forests, involving public administration, forestry, and technical planning.;8
TA6.40;(urban ecosystems) Member States shall achieve thereafter an increasing trend in the total national area of urban green space, including through integration of urban green space into buildings and infrastructure, in urban ecosystem areas, determined in accordance with Article 11(2b), measured every six years after 31 December 2030, until a satisfactory level identified in accordance with Article 11(3) is reached;M - Professional, Scientific and Technical Activities;N - Administrative and Support Service Activities;O - Public Administration and Defence, Compulsory Social Security;M71 - Architectural and engineering activities, technical testing and analysis;N81 - Services to buildings and landscape activities;O84 - Public administration and defence, compulsory social security;M71.1 - Architectural and engineering activities and related technical consultancy;N81.3 - Landscape service activities;O84.1 - General public administration activities;The target involves urban green space management, requiring technical consultancy, landscape services, and public administration.;9
TA6.41;(urban ecosystems) Member States shall achieve, in each urban ecosystem area, determined in accordance with Article 11(2b), an increasing trend of urban tree canopy cover, measured every six years after 31 December 2030, until the satisfactory level identified in accordance with Article 11(3) is reached.;M - Professional, Scientific and Technical Activities;N - Administrative and Support Service Activities;O - Public Administration and Defence, Compulsory Social Security;M71 - Architectural and engineering activities, technical testing and analysis;N81 - Services to buildings and landscape activities;O84 - Public administration and defence, compulsory social security;M71.1 - Architectural and engineering activities and related technical consultancy;N81.3 - Landscape service activities;O84.1 - General public administration activities;The target involves urban tree canopy management, requiring technical consultancy, landscape services, and public administration.;9
TA6.42;(Restoration of the natural connectivity of rivers and natural functions of the related floodplains) Member States shall make an inventory of artificial barriers to connectivity of surface waters and remove them, taking into account their socio-economic functions, to contribute to the achievement of the restoration targets set out in Article 4 of this Regulation and of the objective of restoring at least 25,000 km of rivers into free-flowing rivers in the Union.;E - Water Supply, Sewerage, Waste Management and Remediation Activities;M - Professional, Scientific and Technical Activities;F - Construction;E36 - Water collection, treatment and supply;M71 - Architectural and engineering activities, technical testing and analysis;F42 - Civil engineering;E36.0 - Water collection, treatment and supply;M71.1 - Architectural and engineering activities and related technical consultancy;F42.9 - Construction of other civil engineering projects;The target involves river connectivity restoration, requiring water management, technical planning, and civil engineering.;9
TA6.43;(pollinator) Member States shall, by putting in place appropriate and effective measures, improve pollinator diversity and reverse the decline of pollinator populations at the latest by 2030 and achieve thereafter an increasing trend of pollinator populations, following the entry into force of the Regulation and measured every six years after 2030, until satisfactory levels are achieved, as set out in accordance with Article 11(3).;A - Agriculture, Forestry and Fishing;M - Professional, Scientific and Technical Activities;O - Public Administration and Defence, Compulsory Social Security;A1 - Crop and animal production, hunting and related service activities;M72 - Scientific research and development;O84 - Public administration and defence, compulsory social security;A1.1 - Growing of non-perennial crops;M72.1 - Research and experimental development on natural sciences and engineering;O84.1 - General public administration activities;The target involves improving pollinator diversity, requiring agriculture, scientific research, and public administration.;9
TA6.44;(marine ecosystems) Member States shall put in place the restoration measures that are necessary to improve to good condition areas of habitat types listed in Annex II which are not in good condition. Such measures shall be in place: (a) on at least 30% by 2030 of the total area of groups 1–6 of habitat types listed in Annex II that is not in good condition, as quantified in the national restoration plan referred to in Article 12, (b) on at least 60 % by 2040 and on at least 90 % by 2050 of the area of each of the groups 1–6 of habitat types listed in Annex II that is not in good condition, as quantified in the national restoration plan referred to in Article 12, (c) on at least two thirds of the percentage, referred to in point (d), by 2040 of the area of group 7 of habitat types listed in Annex II that is not in good condition, as quantified in the national restoration plan referred to in Article 12 [...];A - Agriculture, Forestry and Fishing;E - Water Supply, Sewerage, Waste Management and Remediation Activities;M - Professional, Scientific and Technical Activities;A3 - Fishing and aquaculture;E39 - Remediation activities and other waste management services;M71 - Architectural and engineering activities, technical testing and analysis;A3.1 - Fishing;E39.0 - Remediation activities and other waste management services;M71.1 - Architectural and engineering activities and related technical consultancy;The target involves marine habitat restoration, requiring fishing, waste management, and technical planning.;9
TA6.45;(marine ecosystem) Member States shall put in place the restoration measures that are necessary to re-establish the habitat types of groups 1-6 listed in Annex II in areas not covered by those habitat types with the aim to reach their favourable reference area. Such measures shall be in place on areas representing at least 30 % of the additional overall surface needed to reach the total favourable reference area of each group of habitat types, as quantified in the national restoration plan referred to in Article 12, by 2030, at least 60 % of that surface by 2040, and 100 % of that surface by 2050;A - Agriculture, Forestry and Fishing;E - Water Supply, Sewerage, Waste Management and Remediation Activities;M - Professional, Scientific and Technical Activities;A3 - Fishing and aquaculture;E39 - Remediation activities and other waste management services;M71 - Architectural and engineering activities, technical testing and analysis;A3.1 - Fishing;E39.0 - Remediation activities and other waste management services;M71.1 - Architectural and engineering activities and related technical consultancy;The target focuses on re-establishing marine habitats, involving fishing, waste management, and technical planning.;9
TA6.46;(marine ecosystem) Member States shall ensure, by 2030 at the latest, that the condition is known for at least 50% of the area distributed over all habitat types listed in groups 1–6 of Annex II. The condition of all areas of groups 1–6 of habitat types listed in Annex II shall be known by 2040. Member States shall also ensure, by 2040 at the latest, that the condition is known for at least 50% of the area distributed over all habitat types listed in group 7 of Annex II. The condition of all areas of group 7 of habitat types listed in Annex II shall be known by 2050.;A - Agriculture, Forestry and Fishing;M - Professional, Scientific and Technical Activities;O - Public Administration and Defence, Compulsory Social Security;A3 - Fishing and aquaculture;M72 - Scientific research and development;O84 - Public administration and defence, compulsory social security;A3.1 - Fishing;M72.1 - Research and experimental development on natural sciences and engineering;O84.1 - General public administration activities;The target involves monitoring marine habitat conditions, requiring fishing, scientific research, and public administration.;8
TA6.47;(agricultural ecosystems) Member States shall put in place measures which shall aim to achieve an increasing trend at national level of at least two out of the three following indicators in agricultural ecosystems, as further specified in Annex IV, measured in the period from the date of entry into force of this Regulation until 31 December 2030, and every six years thereafter, until the satisfactory levels, identified in accordance with Article 11(3), are reached: (a) grassland butterfly index, (b) stock of organic carbon in cropland mineral soils, (c) share of agricultural land with high-diversity landscape features.;A - Agriculture, Forestry and Fishing;M - Professional, Scientific and Technical Activities;O - Public Administration and Defence, Compulsory Social Security;A1 - Crop and animal production, hunting and related service activities;M72 - Scientific research and development;O84 - Public administration and defence, compulsory social security;A1.1 - Growing of non-perennial crops;M72.1 - Research and experimental development on natural sciences and engineering;O84.1 - General public administration activities;The target involves improving agricultural ecosystems, requiring agriculture, scientific research, and public administration.;9
TA6.48;(agricultural ecosystems) Member States shall put in place restoration measures which shall aim to ensure that the common farmland bird index at national level based on the species specified in Annex V reaches the following levels: (a) 110 by 2030, 120 by 2040 and 130 by 2050, for Member States listed in Annex V with historically more depleted populations of farmland birds, (b) 105 by 2030, 110 by 2040 and 115 by 2050, for Member States listed in Annex V with historically less depleted populations of farmland birds.;A - Agriculture, Forestry and Fishing;M - Professional, Scientific and Technical Activities;O - Public Administration and Defence, Compulsory Social Security;A1 - Crop and animal production, hunting and related service activities;M72 - Scientific research and development;O84 - Public administration and defence, compulsory social security;A1.1 - Growing of non-perennial crops;M72.1 - Research and experimental development on natural sciences and engineering;O84.1 - General public administration activities;The target involves restoring farmland bird populations, requiring agriculture, scientific research, and public administration.;9
TA6.49;(agricultural ecosystems) Member States shall put in place measures which shall aim to restore organic soils in agricultural use constituting drained peatlands. Those measures shall be in place on at least: (a) 30 % of such areas by 2030, of which at least a quarter shall be rewetted, (b) 40 % of such areas by 2040, of which at least a third shall be rewetted, (c) 50 % of such areas by 2050, of which at least a third shall be rewetted.;A - Agriculture, Forestry and Fishing;E - Water Supply, Sewerage, Waste Management and Remediation Activities;M - Professional, Scientific and Technical Activities;A1 - Crop and animal production, hunting and related service activities;E39 - Remediation activities and other waste management services;M71 - Architectural and engineering activities, technical testing and analysis;A1.1 - Growing of non-perennial crops;E39.0 - Remediation activities and other waste management services;M71.1 - Architectural and engineering activities and related technical consultancy;The target focuses on restoring peatlands, involving agriculture, waste management, and technical planning.;9
TA6.5;Effectively manage all protected areas, defining clear conservation objectives and measures, and monitoring them appropriately;O - Public Administration and Defence, Compulsory Social Security;A - Agriculture, Forestry and Fishing;M - Professional, Scientific and Technical Activities;O84 - Public administration and defence, compulsory social security;A2 - Forestry and logging;M71 - Architectural and engineering activities, technical testing and analysis;O84.1 - General public administration activities;A2.1 - Silviculture and other forestry activities;M71.1 - Architectural and engineering activities and related technical consultancy;The target involves managing protected areas, requiring public administration, forestry, and technical planning.;8
TA6.50;(trees) When identifying and implementing the restoration measures to meet the objectives and obligations set out in Articles 4, 6, 7, 8, 9 and 10, Member States shall aim to contribute to the commitment of planting at least three billion additional trees by 2030 at Union level.;A - Agriculture, Forestry and Fishing;S - Other Service Activities;M - Professional, Scientific and Technical Activities;A2 - Forestry and logging;S96 - Other personal service activities;M71 - Architectural and engineering activities, technical testing and analysis;A2.1 - Silviculture and other forestry activities;S96.0 - Other personal service activities;M71.1 - Architectural and engineering activities and related technical consultancy;The target involves tree planting, requiring forestry activities, ecological planning, and possibly community services.;9
TA6.51;(forest ecosystems) Member States shall achieve an increasing trend at national level of at least six out of seven of the following indicators in forest ecosystems, as further set out in Annex VI, chosen on the basis of their ability to demonstrate the enhancement of biodiversity of forest ecosystems within the Member State concerned. The trend shall be measured in the period from the date of entry into force of this Regulation until 31 December 2030, and every six years thereafter, until the satisfactory levels identified in accordance with Article 11(3) are reached: (a) standing deadwood (b) lying deadwood (c) share of forests with uneven-aged structure, (d) forest connectivity, (e) stock of organic carbon, (f) share of forests dominated by native tree species, (g) tree species diversity;A - Agriculture, Forestry and Fishing;M - Professional, Scientific and Technical Activities;O - Public Administration and Defence, Compulsory Social Security;A2 - Forestry and logging;M72 - Scientific research and development;O84 - Public administration and defence, compulsory social security;A2.1 - Silviculture and other forestry activities;M72.1 - Research and experimental development on natural sciences and engineering;O84.1 - General public administration activities;The target involves enhancing forest biodiversity, requiring forestry activities, scientific research, and public administration.;9
TA6.52;(forest ecosystems) Member States shall achieve an increasing trend at national level of the common forest bird index, as further set out in Annex VI, measured in the period from the date of entry into force of this Regulation until 31 December 2030, and every six years thereafter, until the satisfactory levels identified in accordance with Article 11(3) are reached;A - Agriculture, Forestry and Fishing;M - Professional, Scientific and Technical Activities;O - Public Administration and Defence, Compulsory Social Security;A2 - Forestry and logging;M72 - Scientific research and development;O84 - Public administration and defence, compulsory social security;A2.1 - Silviculture and other forestry activities;M72.1 - Research and experimental development on natural sciences and engineering;O84.1 - General public administration activities;The target involves improving forest bird populations, requiring forestry activities, scientific research, and public administration.;9
TA6.53;nan;;;;;;;nan;;;No content available.;0
TA6.54;Promoting the sustainable forest bioeconomy for long-lived wood products;A - Agriculture, Forestry and Fishing;C - Manufacturing;M - Professional, Scientific and Technical Activities;A2 - Forestry and logging;C16 - Manufacture of wood and of products of wood and cork, except furniture, manufacture of articles of straw and plaiting materials;M72 - Scientific research and development;A2.1 - Silviculture and other forestry activities;C16.1 - Sawmilling and planing of wood;M72.1 - Research and experimental development on natural sciences and engineering;The target involves promoting sustainable forest bioeconomy, requiring forestry activities, wood manufacturing, and scientific research.;9
TA6.55;Ensuring sustainable use of wood-based resources for bioenergy;A - Agriculture, Forestry and Fishing;C - Manufacturing;D - Electricity, Gas, Steam and Air Conditioning Supply;A2 - Forestry and logging;C16 - Manufacture of wood and of products of wood and cork, except furniture, manufacture of articles of straw and plaiting materials;D35 - Electricity, gas, steam and air conditioning supply;A2.1 - Silviculture and other forestry activities;C16.1 - Sawmilling and planing of wood;D35.1 - Electric power generation, transmission and distribution;The target involves sustainable use of wood for bioenergy, requiring forestry activities, wood manufacturing, and energy supply.;9
TA6.56;Promoting non-wood forest-based bioeconomy, including ecotourism;A - Agriculture, Forestry and Fishing;N - Administrative and Support Service Activities;M - Professional, Scientific and Technical Activities;A2 - Forestry and logging;N79 - Travel agency, tour operator and other reservation service and related activities;M72 - Scientific research and development;A2.1 - Silviculture and other forestry activities;N79.1 - Travel agency and tour operator activities;M72.1 - Research and experimental development on natural sciences and engineering;The target involves promoting non-wood forest bioeconomy, requiring forestry activities, ecotourism services, and scientific research.;9
TA6.57;Developing skills and empowering people for sustainable forest-based bioeconomy;A - Agriculture, Forestry and Fishing;P - Education;M - Professional, Scientific and Technical Activities;A2 - Forestry and logging;P85 - Education;M72 - Scientific research and development;A2.1 - Silviculture and other forestry activities;P85.6 - Educational support activities;M72.1 - Research and experimental development on natural sciences and engineering;The target involves developing skills for forest bioeconomy, requiring forestry activities, education, and scientific research.;9
TA6.58;Protecting EU’s last remaining primary and old-growth forests;O - Public Administration and Defence, Compulsory Social Security;A - Agriculture, Forestry and Fishing;M - Professional, Scientific and Technical Activities;O84 - Public administration and defence, compulsory social security;A2 - Forestry and logging;M71 - Architectural and engineering activities, technical testing and analysis;O84.1 - General public administration activities;A2.1 - Silviculture and other forestry activities;M71.1 - Architectural and engineering activities and related technical consultancy;The target involves protecting primary forests, requiring public administration, forestry, and technical planning.;8
