target_code;target_content;NACE_level1;NACE_level1_extra1;NACE_level1_extra2;NACE_level2;NACE_level2_extra1;NACE_level2_extra2;NACE_level_3;NACE_level_3_extra1;NACE level3_extra2;justification;confidence_score
TA4.1;The amendments in Dir. 2023/2413 are also intended to support the achievement of the Union’s target of an annual production of sustainable biomethane of 35 billion cubic meters by 2030, set out in the SWD(2022) 230 of 18 May 2022 accompanying the REPowerEU Plan;D - Electricity, Gas, Steam and Air Conditioning Supply;A - Agriculture, Forestry and Fishing;;D35 - Electricity, gas, steam and air conditioning supply;A1 - Crop and animal production, hunting and related service activities;;D35.2 - Manufacture of gas, distribution of gaseous fuels through mains;A1.1 - Growing of non-perennial crops;;The target focuses on sustainable biomethane production, which involves both energy supply and agricultural activities.;8
TA4.10;EU fisheries are encouraged to continue the positive trend, as observed for the period 2009-2019, towards reducing fuel intensity by reducing the fossil-fuel consumption per kg of landed product for at least an additional 15% for the period 2019-2030;A - Agriculture, Forestry and Fishing;C - Manufacturing;;A3 - Fishing and aquaculture;C10 - Manufacture of food products;;A3.1 - Fishing;C10.2 - Processing and preserving of fish, crustaceans and molluscs;;The target is directly related to fishing activities and the reduction of fuel consumption in the fisheries sector.;9
TA4.11;Reduce the average door-to-door cost of combined transport operations by at least 10% within 7 years;H - Transportation and Storage;M - Professional, Scientific and Technical Activities;;H52 - Warehousing and support activities for transportation;M70 - Activities of head offices, management consultancy activities;;H52.2 - Support activities for transportation;M70.2 - Management consultancy activities;;The target is focused on transportation cost reduction, involving logistics and consultancy.;8
TA4.12;GHG intensity reduction target in the maritime sector (link Agreement Council - Parliament on 23.03.2023): -2% from 1 January 2025, -6% from 1 January 2030, -14.5% from 1 January 2035, -31% from 1 January 2040, -62% from 1 January 2045, -80% from 1 January 2050);H - Transportation and Storage;D - Electricity, Gas, Steam and Air Conditioning Supply;;H50 - Water transport;D35 - Electricity, gas, steam and air conditioning supply;;H50.2 - Sea and coastal freight water transport;D35.2 - Manufacture of gas, distribution of gaseous fuels through mains;;The target is specific to the maritime sector, focusing on reducing GHG emissions, which involves both transportation and energy supply.;9
TA4.13;For new urban buses the share of zeroemissions vehicles shall be 100% as from the reporting period of the year 2030;C - Manufacturing;H - Transportation and Storage;;C29 - Manufacture of motor vehicles, trailers and semi-trailers;H49 - Land transport and transport via pipelines;;C29.1 - Manufacture of motor vehicles;H49.3 - Other passenger land transport;;The target involves the manufacturing of zero-emission buses and their deployment in urban transport.;9
TA4.14;Renewable and low-carbon fuels should represent between 6% and 9% of the international maritime transport fuel mix by 2030 and between 86% and 88% by 2050;D - Electricity, Gas, Steam and Air Conditioning Supply;H - Transportation and Storage;;D35 - Electricity, gas, steam and air conditioning supply;H50 - Water transport;;D35.2 - Manufacture of gas, distribution of gaseous fuels through mains;H50.2 - Sea and coastal freight water transport;;The target focuses on the use of renewable fuels in maritime transport, involving both energy supply and transportation.;9
TA4.15;The average CO2 emissions of the Union fleet of new heavy-duty motor vehicles, other than special purpose, off-road, off-road special purpose, and vocational vehicles shall be reduced by the following percentages compared to the average CO2 emissions of the reporting period of the year 2019: (a) for vehicle sub-groups 4-UD, 4-RD, 4-LH, 5-RD, 5-LH, 9-RD, 9-LH, 10-RD, 10-LH for the reporting periods of the years 2025 to 2029 by 15 %, for all vehicle sub-groups for the reporting periods of the years 2030 to 2034 by 45 %, (c) for all vehicle sub-groups for the reporting periods of the years 2035 to 2039 by 65 %, (d) for all vehicle sub-groups for the reporting periods of the years 2040 onwards by 90%;C - Manufacturing;H - Transportation and Storage;;C29 - Manufacture of motor vehicles, trailers and semi-trailers;H49 - Land transport and transport via pipelines;;C29.1 - Manufacture of motor vehicles;H49.4 - Freight transport by road and removal services;;The target is related to reducing CO2 emissions from heavy-duty vehicles, involving both manufacturing and transportation sectors.;9
TA4.16;From 1 January 2020, this Regulation sets an EU fleet-wide target of 95 g CO2/km for the average emissions of new passenger cars and an EU fleet-wide target of 147 g CO2/km for the average emissions of new light commercial vehicles registered in the Union, as measured until 31 December 2020 in accordance with Regulation (EC) No 692/2008 together with Implementing Regulations (EU) 2017/1152 and (EU) 2017/1153, and from 1 January 2021 measured in accordance with Regulation (EU) 2017/1151.;C - Manufacturing;H - Transportation and Storage;;C29 - Manufacture of motor vehicles, trailers and semi-trailers;H49 - Land transport and transport via pipelines;;C29.1 - Manufacture of motor vehicles;H49.3 - Other passenger land transport;;The target involves setting CO2 emission limits for new vehicles, impacting both manufacturing and transportation sectors.;9
TA4.17;This Regulation will, until 31 December 2024, be complemented by additional measures corresponding to a reduction of 10 g CO2/km as part of the Union's integrated approach referred to in the Commission's communication of 7 February 2007 entitled ‘Results of the review of the Community Strategy to reduce CO2 emissions from passenger cars and light-commercial vehicles;C - Manufacturing;H - Transportation and Storage;;C29 - Manufacture of motor vehicles, trailers and semi-trailers;H49 - Land transport and transport via pipelines;;C29.1 - Manufacture of motor vehicles;H49.3 - Other passenger land transport;;The target focuses on further reducing CO2 emissions from vehicles, involving both manufacturing and transportation sectors.;9
TA4.18;nan;;;;;;;;;;The target content is empty, so no NACE category can be assigned.;0
