target_code;target_content;NACE_level1;NACE_level1_extra1;NACE_level1_extra2;NACE_level2;NACE_level2_extra1;NACE_level2_extra2;NACE_level_3;NACE_level_3_extra1;NACE level3_extra2;justification;confidence_score
TA1.1;Climate Neutrality (2040 target under discussion);A - Agriculture, Forestry and Fishing;C - Manufacturing;D - Electricity, Gas, Steam and Air Conditioning Supply;A1 - Crop and animal production, hunting and related service activities;C26 - Manufacture of computer, electronic and optical products;D35 - Electricity, gas, steam and air conditioning supply;A1.1 - Growing of non-perennial crops;C26.1 - Manufacture of electronic components and boards;D35.1 - Electric power generation, transmission and distribution;The target of climate neutrality involves multiple sectors including agriculture, manufacturing, and energy production.;7
TA1.10;The total quantity of allowances for the new emissions trading system should follow a linear trajectory to reach the emission reduction target for 2030, taking into account the cost-efficient contribution of the buildings and road transport sectors of 43 % emission reductions by 2030 compared to 2005 and of the additional sectors, a combined cost-efficient contribution of 42 % emission reductions by 2030 compared to 2005.;F - Construction;H - Transportation and Storage;D - Electricity, Gas, Steam and Air Conditioning Supply;F41 - Construction of buildings;H49 - Land transport and transport via pipelines;D35 - Electricity, gas, steam and air conditioning supply;F41.1 - Development of building projects;H49.1 - Passenger rail transport, interurban;D35.1 - Electric power generation, transmission and distribution;The target focuses on emission reductions in buildings and transport, which are key sectors in construction and transportation.;8
TA1.11;Upgrade national targets in line with an EU-wide reduction of 40% in the ESR sectors compared to 2005. Member States contribute to the overall EU reduction in 2030 with targets ranging from -10% to -50% below 2005 level (sectors: transport, buildings, agriculture and waste);H - Transportation and Storage;F - Construction;E - Water Supply, Sewerage, Waste Management and Remediation Activities;H49 - Land transport and transport via pipelines;F41 - Construction of buildings;E38 - Waste collection, treatment and disposal activities, materials recovery;H49.1 - Passenger rail transport, interurban;F41.1 - Development of building projects;E38.1 - Waste collection;The target involves multiple sectors including transportation, construction, and waste management, which are crucial for achieving emission reductions.;8
TA1.12;Achieve an EU net greenhouse gas removal of 310 million tonnes CO2 equivalent per year for the land use, land use change and forestry (LULUCF) sector;A - Agriculture, Forestry and Fishing;E - Water Supply, Sewerage, Waste Management and Remediation Activities;;A2 - Forestry and logging;E39 - Remediation activities and other waste management services;;A2.1 - Silviculture and other forestry activities;E39.0 - Remediation activities and other waste management services;;The focus on land use and forestry directly relates to the agriculture and forestry sector, with potential involvement in remediation activities.;9
TA1.13;For the period from 2021 to 2025 each Member State shall ensure that greenhouse gas emissions from the sector do not exceed greenhouse gas removals, calculated as the sum of total emissions and total removals on its territory in all of the land accounting categories (no debit rule). The accounting benchmark for the EU is ca. -229 Mt CO2e/yr for 2021-2025.;A - Agriculture, Forestry and Fishing;E - Water Supply, Sewerage, Waste Management and Remediation Activities;;A2 - Forestry and logging;E39 - Remediation activities and other waste management services;;A2.1 - Silviculture and other forestry activities;E39.0 - Remediation activities and other waste management services;;The target is focused on balancing emissions and removals, primarily involving forestry and potentially waste management.;9
TA1.14;Each Member State shall ensure that the annual sum of its greenhouse gas emissions and removals on its territory and in all of the land reporting categories, in each year in the period from 2026 to 2030, does not exceed the limit established by a linear trajectory, ending in 2030 on the target set out for that Member State(no debit rule);A - Agriculture, Forestry and Fishing;E - Water Supply, Sewerage, Waste Management and Remediation Activities;;A2 - Forestry and logging;E39 - Remediation activities and other waste management services;;A2.1 - Silviculture and other forestry activities;E39.0 - Remediation activities and other waste management services;;This target involves managing emissions and removals, particularly in forestry and potentially in waste management.;9
TA1.15;Reduce buildings’ greenhouse gas emissions by 60%, compared to 2015 levels, by 2030;F - Construction;D - Electricity, Gas, Steam and Air Conditioning Supply;;F41 - Construction of buildings;D35 - Electricity, gas, steam and air conditioning supply;;F41.1 - Development of building projects;D35.1 - Electric power generation, transmission and distribution;;The target specifically addresses emissions from buildings, involving construction and energy supply sectors.;9
TA1.16;To achieve 55% reduction of GHG emission by 2030, methane emissions related to energy production and consumption should be reduced by 58% compared to the level in 2020;D - Electricity, Gas, Steam and Air Conditioning Supply;B - Mining and Quarrying;;D35 - Electricity, gas, steam and air conditioning supply;B6 - Extraction of crude petroleum and natural gas;;D35.2 - Manufacture of gas, distribution of gaseous fuels through mains;B6.1 - Extraction of crude petroleum;;The target focuses on reducing methane emissions, primarily involving energy production and extraction activities.;9
TA1.2;2040 target under discussion;;;;;;;;;;No specific content provided for analysis.;0
TA1.3;Reduce of 55% GHG emissions compared to 1990 levels (2040 target under discussion);A - Agriculture, Forestry and Fishing;C - Manufacturing;D - Electricity, Gas, Steam and Air Conditioning Supply;A1 - Crop and animal production, hunting and related service activities;C26 - Manufacture of computer, electronic and optical products;D35 - Electricity, gas, steam and air conditioning supply;A1.1 - Growing of non-perennial crops;C26.1 - Manufacture of electronic components and boards;D35.1 - Electric power generation, transmission and distribution;The target involves a broad reduction in emissions, impacting agriculture, manufacturing, and energy sectors.;7
