source_subtheme;impact_subtheme;impact_type;impact_weight ;justification 
GHG Reduction;Waste Reduction ;+ ;+3 ;The implementation of the GHG reduction target can positively influence the waste reduction sub-theme, as reducing GHG emissions can also lead to a reduction in waste generation. 
GHG Reduction ;Circularity/Recycling ; + ; +2 ;The GHG reduction target can reinforce the circularity/recycling sub-theme, as reducing emissions can also lead to a reduction in waste generation and an increase in recycling efforts. 
GHG Reduction ;Terrestrial Ecosystems Restoration ; + ; +1 ;The GHG reduction target can enable the terrestrial ecosystems restoration sub-theme, as reducing emissions can also lead to an increase in the capacity to adapt to climate-related hazards and a reduction in losses caused by disasters. 
GHG Reduction ;Marine Ecosystem Restoration ; + ; +1 ;The GHG reduction target can enable the marine ecosystem restoration sub-theme, as reducing emissions can also lead to an increase in the capacity to adapt to climate-related hazards and a reduction in losses caused by disasters. 
GHG Reduction ;Biodiversity Protection & Conservation ; + ; +1 ;The GHG reduction target can enable the biodiversity protection and conservation sub-theme, as reducing emissions can also lead to an increase in the capacity to adapt to climate-related hazards and a reduction in losses caused by disasters. 
Waste Reduction ;Waste Reduction - Municipal Waste ; - ; -1 ;The waste reduction sub-theme can constrain the waste reduction - municipal waste sub-theme, as improving waste efficiency can limit options for agricultural irrigation. 
Waste Reduction ;Circularity/Recycling - Municipal Waste ; - ; -2 ;The waste reduction sub-theme can counteract the circularity/recycling - municipal waste sub-theme, as reducing waste generation can clash with waste recycling efforts. 
Waste Reduction ;Circularity/Recycling - Textile Waste ; - ; -2 ;The waste reduction sub-theme can counteract the circularity/recycling - textile waste sub-theme, as reducing waste generation can clash with textile recycling efforts. 
Waste Reduction ;Circularity/Recycling - Plastic & Packaging ; - ; -2 ;The waste reduction sub-theme can counteract the circularity/recycling - plastic & packaging sub-theme, as reducing waste generation can clash with plastic and packaging recycling efforts. 
Waste Reduction ;Circularity/Recycling - Vehicle Circularity ; - ; -2 ;The waste reduction sub-theme can counteract the circularity/recycling - vehicle circularity sub-theme, as reducing waste generation can clash with vehicle recycling efforts. 
Waste Reduction ;Critical Raw Materials - Extraction & Import ; - ; -2 ;The waste reduction sub-theme can counteract the critical raw materials - extraction & import sub-theme, as reducing waste generation can clash with raw material extraction and import efforts. 
Waste Reduction ;Net-Zero Technology - Manufacturing ; - ; -2 ;The waste reduction sub-theme can counteract the net-zero technology - manufacturing sub-theme, as reducing waste generation can clash with manufacturing efforts to achieve net-zero emissions. 
Terrestrial Ecosystems Restoration ;Terrestrial Ecosystems Restoration - Rivers ; + ; +3 ;The terrestrial ecosystems restoration sub-theme can positively influence the terrestrial ecosystems restoration - rivers sub-theme, as restoring ecosystems can also lead to an increase in the capacity to adapt to climate-related hazards and a reduction in losses caused by disasters. 
Terrestrial Ecosystems Restoration ;Terrestrial Ecosystems Restoration - Agricultural Ecosystems ; + ; +2 ;The terrestrial ecosystems restoration sub-theme can reinforce the terrestrial ecosystems restoration - agricultural ecosystems sub-theme, as restoring ecosystems can also lead to an increase in the capacity to adapt to climate-related hazards and a reduction in losses caused by disasters. 
Terrestrial Ecosystems Restoration ;Terrestrial Ecosystems Restoration - Forests ; + ; +1 ;The terrestrial ecosystems restoration sub-theme can
