source_subtheme;impact_subtheme;impact_type;impact_weight;justification 
Climate Resilience;Food quality - Animal Welfare ;+;1;The implementation of climate resilience measures can positively impact food quality by reducing animal welfare, as it can lead to more sustainable and environmentally-friendly food systems. 
GHG Reduction ;Food quality - Healthy Food ;+ ;1 ;Reducing GHG emissions can positively impact food quality by promoting healthier food options, as it can lead to a more sustainable and environmentally-friendly food system. 
GHG Reduction - Buildings ;Food affordability ;+ ;1 ;Improving energy efficiency in buildings can positively impact food affordability by reducing energy costs and increasing access to affordable food options. 
GHG Removal ;Pesticides Reduction ;+ ;1 ;Implementing GHG removal technologies can positively impact pesticides reduction by reducing the need for pesticides and promoting sustainable agriculture practices. 
Climate Resilience ;Competitive Agriculture ;+ ;1 ;Promoting climate resilience can positively impact competitive agriculture by supporting sustainable and resilient agricultural practices, which can lead to more competitive and sustainable food systems. 
GHG Reduction ;Social Security - Workers Protection ;+ ;1 ;Reducing GHG emissions can positively impact social security for workers by creating jobs and promoting sustainable economic growth. 
GHG Reduction - Buildings ;Food quality - Animal Welfare ;+ ;1 ;Improving energy efficiency in buildings can positively impact food quality by reducing animal welfare, as it can lead to more sustainable and environmentally-friendly food systems. 
GHG Reduction - Transports ;Food quality - Healthy Food ;+ ;1 ;Reducing GHG emissions from transport can positively impact food quality by promoting healthier food options, as it can lead to a more sustainable and environmentally-friendly food system. 
GHG Removal ;Food affordability ;+ ;1 ;Implementing GHG removal technologies can positively impact food affordability by reducing energy costs and increasing access to affordable food options. 
Climate Resilience ;Pesticides Reduction ;+ ;1 ;Promoting climate resilience can positively impact pesticides reduction by supporting sustainable and resilient agricultural practices, which can lead to more sustainable and environmentally-friendly food systems. 
GHG Reduction ;Food quality - Animal Welfare ;+ ;1 ;Reducing GHG emissions can positively impact food quality by reducing animal welfare, as it can lead to more sustainable and environmentally-friendly food systems. 
GHG Reduction - Buildings ;Food quality - Healthy Food ;+ ;1 ;Improving energy efficiency in buildings can positively impact food quality by promoting healthier food options, as it can lead to a more sustainable and environmentally-friendly food system. 
GHG Reduction - Transports ;Food quality - Animal Welfare ;+ ;1 ;Reducing GHG emissions from transport can positively impact food quality by reducing animal welfare, as it can lead to more sustainable and environmentally-friendly food systems. 
GHG Removal ;Food affordability ;+ ;1 ;Implementing GHG removal technologies can positively impact food affordability by reducing energy costs and increasing access to affordable food options. 
Climate Resilience ;Competitive Agriculture ;+ ;1 ;Promoting climate resilience can positively impact competitive agriculture by supporting sustainable and resilient agricultural practices, which can lead to more competitive and sustainable food systems. 
GHG Reduction ;Social Security - Workers Protection ;+ ;1 ;Reducing GHG emissions can positively impact social security for workers by creating jobs and promoting sustainable economic growth. 
GHG Reduction - Buildings ;Food quality - Animal Welfare ;+ ;1 ;Improving energy efficiency in buildings can positively impact food quality by reducing animal welfare, as it can lead to more sustainable and environmentally-friendly food systems. 
GHG Reduction - Transports ;Food quality - Healthy Food ;+ ;1 ;Reducing GHG emissions from transport can positively impact food quality by promoting healthier food options, as it can lead to a more sustainable and environmentally-friendly food system. 
GHG Removal ;Food affordability ;+ ;1 ;Implementing GHG removal technologies can positively impact food affordability by reducing energy costs and increasing access to
