source_subtheme;impact_subtheme;impact_type;impact_weight;justification
Climate Resilience;Terrestrial Ecosystems Restoration - Agricultural Ecosystems;positive;+1;The implementation of climate resilience measures can positively impact the restoration of agricultural ecosystems, as it can help reduce the risks of climate-related hazards and improve the overall sustainability of the food system.
GHG Reduction;Biodiversity Protection & Conservation - Urban Nature;positive ; +2 ;The reduction of GHG emissions can positively impact the protection and conservation of urban nature, as it can help reduce the environmental impacts of urbanization and promote sustainable urban planning.
GHG Reduction - Buildings;Marine Ecosystem Restoration;positive ; +3 ;The reduction of GHG emissions from buildings can positively impact the restoration of marine ecosystems, as it can help reduce the environmental impacts of energy consumption and promote sustainable energy use.
GHG Reduction - Transports;Terrestrial Ecosystems Restoration - Rivers;positive ; +2 ;The reduction of GHG emissions from transport can positively impact the restoration of rivers, as it can help reduce the environmental impacts of energy consumption and promote sustainable transport systems.
GHG Removal;Biodiversity Protection & Conservation - Fisheries;positive ; +1 ;The removal of GHG emissions can positively impact the protection and conservation of fisheries, as it can help reduce the environmental impacts of energy consumption and promote sustainable fishing practices.
Terrestrial Ecosystems Restoration;Marine Ecosystem Restoration;positive ; +2 ;The restoration of terrestrial ecosystems can positively impact the restoration of marine ecosystems, as it can help reduce the environmental impacts of land use and promote sustainable land management practices.
Terrestrial Ecosystems Restoration - Agricultural Ecosystems;Biodiversity Protection & Conservation - Urban Nature;positive ; +1 ;The restoration of agricultural ecosystems can positively impact the protection and conservation of urban nature, as it can help reduce the environmental impacts of land use and promote sustainable land management practices.
Terrestrial Ecosystems Restoration - Rivers;Marine Ecosystem Restoration;positive ; +3 ;The restoration of rivers can positively impact the restoration of marine ecosystems, as it can help reduce the environmental impacts of energy consumption and promote sustainable energy use.
Terrestrial Ecosystems Restoration - Forests;Biodiversity Protection & Conservation - Fisheries;positive ; +2 ;The restoration of forests can positively impact the protection and conservation of fisheries, as it can help reduce the environmental impacts of energy consumption and promote sustainable fishing practices.
Marine Ecosystem Restoration;Biodiversity Protection & Conservation - Urban Nature;positive ; +1 ;The restoration of marine ecosystems can positively impact the protection and conservation of urban nature, as it can help reduce the environmental impacts of energy consumption and promote sustainable urban planning.
Biodiversity Protection & Conservation;Terrestrial Ecosystems Restoration - Agricultural Ecosystems;positive ; +2 ;The protection and conservation of biodiversity can positively impact the restoration of agricultural ecosystems, as it can help reduce the environmental impacts of land use and promote sustainable land management practices.
Biodiversity Protection & Conservation - Fisheries;GHG Reduction - Buildings;positive ; +3 ;The protection and conservation of fisheries can positively impact the reduction of GHG emissions from buildings, as it can help reduce the environmental impacts of energy consumption and promote sustainable energy use.
Biodiversity Protection & Conservation - Urban Nature;GHG Reduction - Transports;positive ; +2 ;The protection and conservation of urban nature can positively impact the reduction of GHG emissions from transport, as it can help reduce the environmental impacts of energy consumption and promote sustainable transport systems.
Biodiversity Protection & Conservation - Monitoring;Terrestrial Ecosystems Restoration - Rivers;positive ; +1 ;The protection and conservation of biodiversity can positively impact the restoration of rivers, as it can help reduce the environmental impacts of energy consumption and promote sustainable energy use.
Biodiversity Protection & Conservation;Terrestrial Ecosystems Restoration - Agricultural Ecosystems;positive ; +2 ;The protection and conservation of biodiversity can positively impact the restoration of agricultural ecosystems, as it can help reduce the environmental impacts of land use and promote sustainable land management practices.
Biodiversity Protection & Conservation - Fisheries;Marine Ecosystem Restoration;positive ; +3 ;The protection and conservation of fisheries can positively impact the restoration of marine ecosystems, as it can help reduce the environmental impacts of energy consumption and promote sustainable energy use.
Biodiversity Protection & Conservation - Urban Nature;Terrestrial Ecosystems Restoration - Rivers;positive ; +2 ;The protection and conservation of urban nature can positively impact the restoration of rivers, as it can help reduce the environmental impacts of energy consumption and promote sustainable energy use.
Biodiversity Protection & Conservation;Terrestrial Ecosystems Restoration - Agricultural Ecosystems;positive ; +1 ;The protection and conservation of biodiversity can positively impact the restoration of agricultural ecosystems, as it can help reduce the environmental impacts of land use and promote sustainable land management practices.
Biodiversity Protection & Conservation - Fisheries;GHG Reduction - Buildings;positive ; +3 ;The protection and conservation of fisheries can positively impact the reduction of GHG emissions from buildings, as it can help reduce the environmental impacts of energy consumption and promote sustainable energy use.
