source_subtheme;impact_subtheme;impact_type;impact_weight;justification 
GHG Reduction;Biodiversity Protection & Conservation - Urban Nature ;+;+3 ;Inextricably linked to the achievement of another target. Ending all forms of discrimination against women and girls is indivisible from ensuring women’s full and effective participation and equal opportunities for leadership. 
GHG Reduction;Improve Air Quality ;+ ; +2 ;Aids the achievement of another target. Providing access to electricity reinforces water‐pumping and irrigation systems. Strengthening the capacity to adapt to climate‐related hazards reduces losses caused by disasters. 
GHG Reduction;Improve Water Quality ;+ ; +1 ;Creates conditions that further another target. Providing electricity access in rural homes enables education, because it makes it possible to do homework at night with electric lighting. 
GHG Reduction;Noise Reduction ;+ ; +1 ;Creates conditions that further another target. Improved water efficiency can constrain agricultural irrigation. Reducing climate change can constrain the options for energy access. 
GHG Reduction;Social Security - Sanitation ;+ ; +1 ;Creates conditions that further another target. Boosting consumption for growth can counteract waste reduction and climate mitigation. 
Terrestrial Ecosystems Restoration;Biodiversity Protection & Conservation - Fisheries ;+ ; +3 ;Inextricably linked to the achievement of another target. Ending all forms of discrimination against women and girls is indivisible from ensuring women’s full and effective participation and equal opportunities for leadership. 
Terrestrial Ecosystems Restoration;Improve Air Quality ;+ ; +2 ;Aids the achievement of another target. Providing access to electricity reinforces water‐pumping and irrigation systems. Strengthening the capacity to adapt to climate‐related hazards reduces losses caused by disasters. 
Terrestrial Ecosystems Restoration;Improve Water Quality ;+ ; +1 ;Creates conditions that further another target. Providing electricity access in rural homes enables education, because it makes it possible to do homework at night with electric lighting. 
Terrestrial Ecosystems Restoration;Noise Reduction ;+ ; +1 ;Creates conditions that further another target. Improved water efficiency can constrain agricultural irrigation. Reducing climate change can constrain the options for energy access. 
Terrestrial Ecosystems Restoration;Social Security - Sanitation ;+ ; +1 ;Creates conditions that further another target. Boosting consumption for growth can counteract waste reduction and climate mitigation. 
Biodiversity Protection & Conservation - Fisheries;Improve Air Quality ;+ ; +2 ;Aids the achievement of another target. Providing access to electricity reinforces water‐pumping and irrigation systems. Strengthening the capacity to adapt to climate‐related hazards reduces losses caused by disasters. 
Biodiversity Protection & Conservation - Fisheries;Improve Water Quality ;+ ; +1 ;Creates conditions that further another target. Providing electricity access in rural homes enables education, because it makes it possible to do homework at night with electric lighting. 
Biodiversity Protection & Conservation - Fisheries;Noise Reduction ;+ ; +1 ;Creates conditions that further another target. Improved water efficiency can constrain agricultural irrigation. Reducing climate change can constrain the options for energy access. 
Biodiversity Protection & Conservation - Fisheries;Social Security - Sanitation ;+ ; +1 ;Creates conditions that further another target. Boosting consumption for growth can counteract waste reduction and climate mitigation. 
