                source_subtheme;impact_subtheme;impact_type;impact_weight;justification 
                Renewable Energy;Terrestrial Ecosystems Restoration - Rivers;positive;+3;Inextricably linked to the achievement of another target. 
                Renewable Energy - Heating & Cooling;Terrestrial Ecosystems Restoration - Agricultural Ecosystems;positive ; +2;Aids the achievement of another target. 
                Renewable Energy - Hydrogen Production;Marine Ecosystem Restoration;positive ; +1 ;Creates conditions that further another target. 
                Renewable Energy - Ocean/Offshore;Biodiversity Protection & Conservation - Fisheries;positive ; +1 ;Creates conditions that further another target. 
                Renewable Energy - Solar;Terrestrial Ecosystems Restoration - Forests;positive ; +1 ;Creates conditions that further another target. 
                Energy Efficiency;Terrestrial Ecosystems Restoration - Agricultural Ecosystems;positive ; +1 ;Creates conditions that further another target. 
                Energy Efficiency - Buildings;Terrestrial Ecosystems Restoration - Rivers;positive ; +1 ;Creates conditions that further another target. 
                Energy Infrastructure;Terrestrial Ecosystems Restoration - Rivers;positive ; +1 ;Creates conditions that further another target. 
                Social Security - Energy;Terrestrial Ecosystems Restoration - Agricultural Ecosystems;positive ; +1 ;Creates conditions that further another target. 
                Terrestrial Ecosystems Restoration;Biodiversity Protection & Conservation - Urban Nature;positive ; +1 ;Creates conditions that further another target. 
                Terrestrial Ecosystems Restoration - Rivers;Biodiversity Protection & Conservation - Fisheries;positive ; +1 ;Creates conditions that further another target. 
                Terrestrial Ecosystems Restoration - Agricultural Ecosystems;Biodiversity Protection & Conservation - Urban Nature;positive ; +1 ;Creates conditions that further another target. 
                Terrestrial Ecosystems Restoration - Forests;Marine Ecosystem Restoration;positive ; +1 ;Creates conditions that further another target. 
                Marine Ecosystem Restoration;Biodiversity Protection & Conservation - Fisheries;positive ; +1 ;Creates conditions that further another target. 
                Biodiversity Protection & Conservation;Terrestrial Ecosystems Restoration - Rivers;positive ; +1 ;Creates conditions that further another target. 
                Biodiversity Protection & Conservation - Fisheries;Terrestrial Ecosystems Restoration - Agricultural Ecosystems;positive ; +1 ;Creates conditions that further another target. 
                Biodiversity Protection & Conservation - Urban Nature;Terrestrial Ecosystems Restoration - Rivers;positive ; +1 ;Creates conditions that further another target.
