source_subtheme;impact_subtheme;impact_type;impact_weight ;justification 
GHG Reduction;Waste Reduction ;+ ;+3 ;Inextricably linked to the achievement of another target. Ending all forms of discrimination against women and girls is indivisible from ensuring women’s full and effective participation and equal opportunities for leadership. 
GHG Reduction;Net-Zero Technology - Road Vehicles ;+ ; +2 ;Aids the achievement of another target. Providing access to electricity reinforces water‐pumping and irrigation systems. Strengthening the capacity to adapt to climate‐related hazards reduces losses caused by disasters. 
GHG Reduction;Waste Reduction - Municipal Waste ;+ ; +1 ;Creates conditions that further another target. Providing electricity access in rural homes enables education, because it makes it possible to do homework at night with electric lighting. 
GHG Reduction;Circularity/Recycling - Municipal Waste ;+ ; +1 ;Creates conditions that further another target. Improved water efficiency can enable agricultural irrigation. Reducing climate change can enable energy access. 
GHG Reduction;Circularity/Recycling - Textile Waste ;+ ; +1 ;Creates conditions that further another target. Providing electricity access in rural homes enables education, because it makes it possible to do homework at night with electric lighting. 
GHG Reduction;Circularity/Recycling - Plastic & Packaging ;+ ; +1 ;Creates conditions that further another target. Improved water efficiency can enable agricultural irrigation. Reducing climate change can enable energy access. 
GHG Reduction;Circularity/Recycling - Vehicle Circularity ;+ ; +1 ;Creates conditions that further another target. Providing electricity access in rural homes enables education, because it makes it possible to do homework at night with electric lighting. 
GHG Reduction;Critical Raw Materials - Extraction & Import ;+ ; +1 ;Creates conditions that further another target. Improved water efficiency can enable agricultural irrigation. Reducing climate change can enable energy access. 
GHG Reduction;Net-Zero Technology - Manufacturing ;+ ; +1 ;Creates conditions that further another target. Providing electricity access in rural homes enables education, because it makes it possible to do homework at night with electric lighting. 
GHG Reduction;Rail ;+ ; +1 ;Creates conditions that further another target. Improved water efficiency can enable agricultural irrigation. Reducing climate change can enable energy access. 
GHG Reduction;Net-Zero Technology - Road Vehicles ;+ ; +1 ;Creates conditions that further another target. Providing electricity access in rural homes enables education, because it makes it possible to do homework at night with electric lighting. 
GHG Reduction;Net-Zero Technology - Maritime Transport ;+ ; +1 ;Creates conditions that further another target. Improved water efficiency can enable agricultural irrigation. Reducing climate change can enable energy access. 
GHG Reduction;Biofuels ;+ ; +1 ;Creates conditions that further another target. Improved water efficiency can enable agricultural irrigation. Reducing climate change can enable energy access. 
GHG Reduction;Other Low-Carbon Fuels ;+ ; +1 ;Creates conditions that further another target. Improved water efficiency can enable agricultural irrigation. Reducing climate change can enable energy access. 
GHG Reduction;Hydrogen Distribution ;+ ; +1 ;Creates conditions that further another target. Improved water efficiency can enable agricultural irrigation. Reducing climate change can enable energy access. 
GHG Reduction;Urban Mobility ;+ ; +1 ;Creates conditions that further another target. Improved water efficiency can enable agricultural irrigation. Reducing climate change can enable energy access. 
GHG Reduction;Transport Logistics ;+ ; +1 ;Creates conditions that further another target. Improved water efficiency can enable agricultural irrigation. Reducing climate change can enable energy access. 
Waste Reduction;Waste Reduction - Municipal Waste ;+ ; +1 ;Creates conditions that further another target. Improved water efficiency can enable agricultural irrigation. Reducing climate change can enable energy access. 
Waste Reduction;Circularity/Recycling - Municipal Waste ;+ ; +1 ;Creates conditions that further another target. Improved water efficiency can enable agricultural irrigation. Reducing climate change can enable energy access. 
Waste Reduction;Circularity/Recycling - Textile Waste ;+ ; +1 ;Creates conditions that further another target. Improved water efficiency can enable agricultural irrigation. Reducing climate change can enable energy access. 
Waste Reduction;Circularity/Recycling - Plastic & Packaging ;+ ; +1 ;Creates conditions that further another target. Improved water efficiency can enable agricultural irrigation. Reducing climate change can enable energy access. 
Waste Reduction;Circularity/Recycling - Vehicle Circularity ;+ ; +1 ;Creates conditions that further another target. Improved water efficiency can enable agricultural irrigation. Reducing climate change can enable energy access. 
Waste Reduction;Critical Raw Materials - Extraction & Import ;+ ; +1 ;Creates conditions that further another target. Improved water efficiency can enable agricultural irrigation. Reducing climate change can enable energy access. 
Waste Reduction;Net-Zero Technology - Manufacturing ;+ ; +1 ;Creates conditions that further another target. Improved water efficiency can enable agricultural irrigation. Reducing climate change can enable energy access. 
Waste Reduction;Rail ;+ ; +1 ;Creates conditions that further another target. Improved water efficiency can enable agricultural irrigation. Reducing climate change can enable energy access. 
Waste Reduction;Net-Zero Technology - Road Vehicles ;+ ; +1 ;Creates conditions that further another target. Improved water efficiency can enable agricultural irrigation. Reducing climate change can enable energy access. 
Waste Reduction;Net-Zero Technology - Maritime Transport ;+ ; +1 ;Creates conditions that further another target. Improved water efficiency can enable agricultural irrigation. Reducing climate change can enable energy access. 
Waste Reduction;Biofuels ;+ ; +1 ;Creates conditions that further another target. Improved water efficiency can enable agricultural irrigation. Reducing climate change can enable energy access. 
Waste Reduction;Other Low-Carbon Fuels ;+ ; +1 ;Creates conditions that further another target. Improved water efficiency can enable agricultural irrigation. Reducing climate change can enable energy access. 
Waste Reduction;Hydrogen Distribution ;+ ; +1 ;Creates conditions that further another target. Improved water efficiency can enable agricultural irrigation. Reducing climate change can enable energy access. 
Waste Reduction;Urban Mobility ;+ ; +1 ;Creates conditions that further another target. Improved water efficiency can enable agricultural irrigation. Reducing climate change can enable energy access. 
Waste Reduction;Transport Logistics ;+ ; +1 ;Creates conditions that further another target. Improved water efficiency can enable agricultural irrigation. Reducing climate change can enable energy access. 
Circularity/Recycling;Waste Reduction - Municipal Waste ;+ ; +1 ;Creates conditions that further another target. Improved water efficiency can enable agricultural irrigation. Reducing climate change can enable energy access. 
Circularity/Recycling;Circularity/Recycling - Municipal Waste ;+ ; +1 ;Creates conditions that further another target. Improved water efficiency can enable agricultural irrigation. Reducing climate change can enable energy access. 
Circularity/Recycling;Circularity/Recycling - Textile Waste ;+ ; +1 ;Creates conditions that further another target. Improved water efficiency can enable agricultural irrigation. Reducing climate change can enable energy access. 
Circularity/Recycling;Circularity/Recycling - Plastic & Packaging ;+ ; +1 ;Creates conditions that further another target. Improved water efficiency can enable agricultural irrigation. Reducing climate change can enable energy access. 
Circularity/Rec
