source_subtheme;impact_subtheme;impact_type;impact_weight ;justification 
GHG Reduction;Food quality ;+ ;+3 ;Inextricably linked to the achievement of another target. Ending all forms of discrimination against women and girls is indivisible from ensuring women’s full and effective participation and equal opportunities for leadership. 
GHG Reduction ;Food quality - Animal Welfare ;+ ; +2 ;Aids the achievement of another target. Providing access to electricity reinforces water‐pumping and irrigation systems. Strengthening the capacity to adapt to climate‐related hazards reduces losses caused by disasters. 
GHG Reduction ;Food quality - Healthy Food ;+ ; +1 ;Creates conditions that further another target. Providing electricity access in rural homes enables education, because it makes it possible to do homework at night with electric lighting. 
GHG Reduction ;Food affordability ;+ ; +1 ;Creates conditions that further another target. Improved water efficiency can constrain agricultural irrigation. Reducing climate change can constrain the options for energy access. 
GHG Reduction ;Pesticides Reduction ;+ ; +1 ;Creates conditions that further another target. Boosting consumption for growth can counteract waste reduction and climate mitigation. 
GHG Reduction ;Competitive Agriculture ;+ ; +1 ;Creates conditions that further another target. Fully ensuring public transparency and democratic accountability cannot be combined with national‐security goals. Full protection of natural reserves excludes public access for recreation. 
GHG Reduction ;Social Security - Workers Protection ;+ ; +1 ;Creates conditions that further another target. Reducing climate change can constrain the options for energy access. Boosting consumption for growth can counteract waste reduction and climate mitigation. 
GHG Reduction ;Climate Resilience ;+ ; +1 ;Creates conditions that further another target. Improved water efficiency can constrain agricultural irrigation. Reducing climate change can constrain the options for energy access. 
GHG Reduction ;GHG Reduction - Buildings ;+ ; +1 ;Creates conditions that further another target. Boosting consumption for growth can counteract waste reduction and climate mitigation. 
GHG Reduction ;GHG Reduction - TransportsGHG Removal ;+ ; +1 ;Creates conditions that further another target. Improved water efficiency can constrain agricultural irrigation. Reducing climate change can constrain the options for energy access.
