source_subtheme;impact_subtheme;impact_type;impact_weight ;justification 
Food quality;Food quality - Animal Welfare;+2;Reinforcing;The EU food system is closely linked to animal welfare, as it aims to promote sustainable and healthy food consumption while protecting animal health and welfare. 
Food quality ;Food affordability;-1;Constraining ;Increasing food production to meet demand can constrain food affordability, as it may lead to higher food prices and reduced access to affordable food options. 
Pesticides Reduction;Competitive Agriculture;+1 ;Enabling ;Reducing pesticides can enable the development of competitive agriculture by promoting sustainable farming practices and reducing environmental pollution. 
Social Security - Workers Protection;Terrestrial Ecosystems Restoration;-2;Counteracting ;Protecting workers' rights and promoting social security can counteract terrestrial ecosystems restoration efforts, as they may prioritize human well-being over environmental conservation. 
Terrestrial Ecosystems Restoration;Terrestrial Ecosystems Restoration - Rivers;+3 ;Indivisible ;Restoring rivers and other water bodies is inextricably linked to terrestrial ecosystems restoration, as it aims to improve water quality and biodiversity. 
Terrestrial Ecosystems Restoration;Terrestrial Ecosystems Restoration - Agricultural Ecosystems;+2 ;Reinforcing ;Restoring agricultural ecosystems can reinforce terrestrial ecosystems restoration efforts, as it aims to improve soil health and reduce pollution. 
Marine Ecosystem Restoration;Biodiversity Protection & Conservation;-1 ;Constraining ;Marine ecosystem restoration can constrain biodiversity protection and conservation efforts, as it may prioritize environmental goals over species conservation. 
Biodiversity Protection & Conservation;Biodiversity Protection & Conservation - Fisheries;+1 ;Enabling ;Protecting biodiversity in fisheries can enable the development of sustainable fishing practices and reduce pollution. 
Biodiversity Protection & Conservation;Biodiversity Protection & Conservation - Monitoring;+2 ;Reinforcing ;Monitoring biodiversity can reinforce biodiversity protection and conservation efforts, as it provides valuable data for policy-making and conservation planning. 
Biodiversity Protection & Conservation;Biodiversity Protection & Conservation - Urban Nature;+3 ;Indivisible ;Protecting biodiversity in urban areas is inextricably linked to biodiversity protection and conservation efforts, as it aims to improve urban ecosystems and promote sustainable urban planning.
