source_subtheme;impact_subtheme;impact_type;impact_weight ;justification 
GHG Reduction;Renewable Energy ;+ ;+3 ;The implementation of the GHG reduction target in List A can positively influence the renewable energy sub-theme in List B, as both targets aim to reduce emissions and promote sustainable energy sources. This synergy can enable the EU to achieve its climate ambitions while also supporting the development of renewable energy technologies. 
GHG Reduction;Energy Efficiency - Buildings ;+ ; +2 ;The GHG reduction target in List A can reinforce the energy efficiency sub-theme in List B, as energy-efficient buildings are essential for reducing emissions and promoting sustainable energy consumption. This connection can aid in achieving the EU's climate goals while also improving building energy efficiency. 
GHG Reduction;Energy Infrastructure ;+ ; +1 ;The GHG reduction target in List A can enable the energy infrastructure sub-theme in List B, as a low-carbon energy system requires a robust and resilient energy infrastructure. This connection can facilitate the transition to a low-carbon economy while supporting the development of energy infrastructure. 
GHG Reduction;Social Security - Energy ;- ; -1 ;The GHG reduction target in List A can constrain the social security sub-theme in List B, as the focus on reducing emissions can limit options for energy access and social support. This connection can have negative impacts on vulnerable populations and energy access. 
GHG Reduction;Transport Logistics ;- ; -2 ;The GHG reduction target in List A can counteract the transport logistics sub-theme in List B, as reducing emissions can limit options for transportation and logistics. This connection can have negative impacts on the transport sector and energy access. 
GHG Reduction;Urban Mobility ;- ; -3 ;The GHG reduction target in List A can cancel the urban mobility sub-theme in List B, as the focus on reducing emissions can make it impossible to reach the urban mobility goal. This connection can have severe negative impacts on urban mobility and energy access. 
Renewable Energy ;Net-Zero Technology - Road Vehicles ;+ ; +3 ;The renewable energy sub-theme in List A can positively influence the net-zero technology sub-theme in List B, as both targets aim to promote sustainable energy sources and reduce emissions. This synergy can enable the EU to achieve its climate ambitions while also supporting the development of net-zero technologies. 
Renewable Energy ;Renewable Energy - Heating & Cooling ;+ ; +2 ;The renewable energy sub-theme in List A can reinforce the renewable energy sub-theme in List B, as both targets aim to promote sustainable energy sources and reduce emissions. This connection can aid in achieving the EU's climate goals while also improving energy efficiency. 
Renewable Energy ;Energy Infrastructure ;+ ; +1 ;The renewable energy sub-theme in List A can enable the energy infrastructure sub-theme in List B, as a low-carbon energy system requires a robust and resilient energy infrastructure. This connection can facilitate the transition to a low-carbon economy while supporting the development of energy infrastructure. 
Renewable Energy ;Social Security - Energy ;- ; -1 ;The renewable energy sub-theme in List A can constrain the social security sub-theme in List B, as the focus on renewable energy can limit options for energy access and social support. This connection can have negative impacts on vulnerable populations and energy access. 
Renewable Energy ;Transport Logistics ;- ; -2 ;The renewable energy sub-theme in List A can counteract the transport logistics sub-theme in List B, as reducing emissions can limit options for transportation and logistics. This connection can have negative impacts on the transport sector and energy access. 
Renewable Energy ;Urban Mobility ;- ; -3 ;The renewable energy sub-theme in List A can cancel the urban mobility sub-theme in List B, as the focus on reducing emissions can make it impossible to reach the urban mobility goal. This connection can have severe negative impacts on urban mobility and energy access. 
Net-Zero Technology - Road Vehicles ;Renewable Energy ;+ ; +3 ;The net-zero technology sub-theme in List A can positively influence the renewable energy sub-theme in List B, as both targets aim to promote sustainable energy sources and reduce emissions. This synergy can enable the EU to achieve its climate ambitions while also supporting the development of net-zero technologies. 
Net-Zero Technology - Road Vehicles ;Renewable Energy - Heating & Cooling ;+ ; +2 ;The net-zero technology sub-theme in List A can reinforce the renewable energy sub-theme in List B, as both targets aim to promote sustainable energy sources and reduce emissions. This connection can aid in achieving the EU's climate goals while also improving energy efficiency. 
Net-Zero Technology - Road Vehicles ;Energy Infrastructure ;+ ; +1 ;The net-zero technology sub-theme in List A can enable the energy infrastructure sub-theme in List B, as a low-carbon energy system requires a robust and resilient energy infrastructure. This connection can facilitate the transition to a low-carbon economy while supporting the development of energy infrastructure. 
Net-Zero Technology - Road Vehicles ;Social Security - Energy ;- ; -1 ;The net-zero technology sub-theme in List A can constrain the social security sub-theme in List B, as the focus on reducing emissions can limit options for energy access and social support. This connection can have negative impacts on vulnerable populations and energy access. 
Net-Zero Technology - Road Vehicles ;Transport Logistics ;- ; -2 ;The net-zero technology sub-theme in List A can counteract the transport logistics sub-theme in List B, as reducing emissions can limit options for transportation and logistics. This connection can have negative impacts on the transport sector and energy access. 
Net-Zero Technology - Road Vehicles ;Urban Mobility ;- ; -3 ;The net-zero technology sub-theme in List A can cancel the urban mobility sub-theme in List B, as the focus on reducing emissions can make it impossible to reach the urban mobility goal. This connection can have severe negative impacts on urban mobility and energy access. 
Renewable Energy - Heating & Cooling ;Renewable Energy ;+ ; +3 ;The renewable energy sub-theme in List A can positively influence the renewable energy sub-theme in List B, as both targets aim to promote sustainable energy sources and reduce emissions. This synergy can enable the EU to achieve its climate ambitions while also supporting the development of renewable energy technologies. 
Renewable Energy - Heating & Cooling ;Energy Efficiency - Buildings ;+ ; +2 ;The renewable energy sub-theme in List A can reinforce the energy efficiency sub-theme in List B, as energy-efficient buildings are essential for reducing emissions and promoting sustainable energy consumption. This connection can aid in achieving the EU's climate goals while also improving building energy efficiency. 
Renewable Energy - Heating & Cooling ;Energy Infrastructure ;+ ; +1 ;The renewable energy sub-theme in List A can enable the energy infrastructure sub-theme in List B, as a low-carbon energy system requires a robust and resilient energy infrastructure. This connection can facilitate the transition to a low-carbon economy while supporting the development of
