                source_subtheme;impact_subtheme;impact_type;impact_weight;justification 
                GHG Reduction;Transport Logistics;positive ;+3;Inextricably linked to the achievement of another target. 
                GHG Reduction;Urban Mobility ;positive ; +2 ;Aids the achievement of another target. Strengthening the capacity to adapt to climate-related hazards reduces losses caused by disasters. 
                GHG Reduction;Hydrogen Distribution ;positive ; +1 ;Creates conditions that further another target. Providing electricity access in rural homes enables education, because it makes it possible to do homework at night with electric lighting. 
                GHG Reduction;Other Low-Carbon Fuels ;negative ; -1 ;Limits options on another target. Improved water efficiency can constrain agricultural irrigation. Reducing climate change can constrain the options for energy access. 
                GHG Reduction;Biofuels ;negative ; -2 ;Clashes with another target. Boosting consumption for growth can counteract waste reduction and climate mitigation. 
                GHG Reduction;Net-Zero Technology - Road Vehicles ;negative ; -3 ;Makes it impossible to reach another goal. Fully ensuring public transparency and democratic accountability cannot be combined with national-security goals. Full protection of natural reserves excludes public access for recreation. 
                GHG Reduction;Net-Zero Technology - Maritime Transport ;negative ; -3 ;Makes it impossible to reach another goal. Fully ensuring public transparency and democratic accountability cannot be combined with national-security goals. Full protection of natural reserves excludes public access for recreation. 
                GHG Reduction;Net-Zero Technology - Aviation ;negative ; -3 ;Makes it impossible to reach another goal. Fully ensuring public transparency and democratic accountability cannot be combined with national-security goals. Full protection of natural reserves excludes public access for recreation. 
                GHG Reduction;Hydrogen Distribution ;negative ; -3 ;Makes it impossible to reach another goal. Fully ensuring public transparency and democratic accountability cannot be combined with national-security goals. Full protection of natural reserves excludes public access for recreation. 
                GHG Reduction;Urban Mobility ;negative ; -1 ;Limits options on another target. Improved water efficiency can constrain agricultural irrigation. Reducing climate change can constrain the options for energy access. 
                GHG Reduction;Transport Logistics ;negative ; -2 ;Clashes with another target. Boosting consumption for growth can counteract waste reduction and climate mitigation. 
                GHG Reduction;Terrestrial Ecosystems Restoration ;positive ; +3 ;Inextricably linked to the achievement of another target. Ending all forms of discrimination against women and girls is indivisible from ensuring women’s full and effective participation and equal opportunities for leadership. 
                GHG Reduction;Terrestrial Ecosystems Restoration - Rivers ;positive ; +2 ;Aids the achievement of another target. Strengthening the capacity to adapt to climate-related hazards reduces losses caused by disasters. 
                GHG Reduction;Terrestrial Ecosystems Restoration - Agricultural Ecosystems ;positive ; +1 ;Creates conditions that further another target. Providing electricity access in rural homes enables education, because it makes it possible to do homework at night with electric lighting. 
                GHG Reduction;Terrestrial Ecosystems Restoration - Forests ;positive ; +1 ;Creates conditions that further another target. Providing electricity access in rural homes enables education, because it makes it possible to do homework at night with electric lighting. 
                GHG Reduction;Marine Ecosystem Restoration ;positive ; +3 ;Inextricably linked to the achievement of another target. Ending all forms of discrimination against women and girls is indivisible from ensuring women’s full and effective participation and equal opportunities for leadership. 
                GHG Reduction;Biodiversity Protection & Conservation ;positive ; +2 ;Aids the achievement of another target. Strengthening the capacity to adapt to climate-related hazards reduces losses caused by disasters. 
                GHG Reduction;Biodiversity Protection & Conservation - Fisheries ;positive ; +1 ;Creates conditions that further another target. Providing electricity access in rural homes enables education, because it makes it possible to do homework at night with electric lighting. 
                GHG Reduction;Biodiversity Protection & Conservation - Monitoring ;positive ; +1 ;Creates conditions that further another target. Providing electricity access in rural homes enables education, because it makes it possible to do homework at night with electric lighting. 
                GHG Reduction;Biodiversity Protection & Conservation - Urban Nature ;positive ; +1 ;Creates conditions that further another target. Providing electricity access in rural homes enables education, because it makes it possible to do homework at night with electric lighting. 
                source_subtheme;impact_subtheme ;impact_type ;impact_weight ;justification
