source_subtheme;impact_subtheme;impact_type;impact_weight ;justification 
GHG Reduction;Terrestrial Ecosystems Restoration - Agricultural Ecosystems;+;+3 ;Inextricably linked to the achievement of another target. Ending all forms of discrimination against women and girls is indivisible from ensuring women’s full and effective participation and equal opportunities for leadership. 
GHG Reduction;Renewable Energy - Hydrogen Production;+ ;+2 ;Aids the achievement of another target. Providing access to electricity reinforces water‐pumping and irrigation systems. Strengthening the capacity to adapt to climate‐related hazards reduces losses caused by disasters. 
GHG Reduction;Energy Efficiency - Buildings ;+ ; +1 ;Creates conditions that further another target. Providing electricity access in rural homes enables education, because it makes it possible to do homework at night with electric lighting. 
GHG Reduction;Marine Ecosystem Restoration ;+ ; +1 ;Creates conditions that further another target. Improved water efficiency can constrain agricultural irrigation. Reducing climate change can constrain the options for energy access. 
GHG Reduction;Biodiversity Protection & Conservation - Fisheries ;+ ; +1 ;Creates conditions that further another target. Boosting consumption for growth can counteract waste reduction and climate mitigation. 
GHG Reduction;Biodiversity Protection & Conservation - Monitoring ;+ ; +1 ;Creates conditions that further another target. Fully ensuring public transparency and democratic accountability cannot be combined with national‐security goals. Full protection of natural reserves excludes public access for recreation. 
GHG Reduction;Terrestrial Ecosystems Restoration - Rivers ;+ ; +1 ;Creates conditions that further another target. Improved water efficiency can constrain agricultural irrigation. Reducing climate change can constrain the options for energy access. 
GHG Reduction;Terrestrial Ecosystems Restoration - Forests ;+ ; +1 ;Creates conditions that further another target. Boosting consumption for growth can counteract waste reduction and climate mitigation. 
GHG Reduction;Terrestrial Ecosystems Restoration ;+ ; +1 ;Creates conditions that further another target. Improved water efficiency can constrain agricultural irrigation. Reducing climate change can constrain the options for energy access. 
GHG Reduction;Renewable Energy - Ocean/Offshore ;+ ; +1 ;Creates conditions that further another target. Boosting consumption for growth can counteract waste reduction and climate mitigation. 
GHG Reduction;Renewable Energy - Solar ;+ ; +1 ;Creates conditions that further another target. Improved water efficiency can constrain agricultural irrigation. Reducing climate change can constrain the options for energy access. 
GHG Reduction;Energy Infrastructure ;+ ; +1 ;Creates conditions that further another target. Boosting consumption for growth can counteract waste reduction and climate mitigation. 
GHG Reduction;Social Security - Energy ;+ ; +1 ;Creates conditions that further another target. Improved water efficiency can constrain agricultural irrigation. Reducing climate change can constrain the options for energy access. 
GHG Reduction;Terrestrial Ecosystems Restoration - Agricultural Ecosystems;+ ; +3 ;Inextricably linked to the achievement of another target. Ending all forms of discrimination against women and girls is indivisible from ensuring women’s full and effective participation and equal opportunities for leadership. 
GHG Reduction;Renewable
