source_subtheme;impact_subtheme;impact_type;impact_weight ; justification 
GHG Reduction;Waste Reduction - Municipal Waste;+;+3;Inextricably linked to the achievement of another target. Ending all forms of discrimination against women and girls is indivisible from ensuring women’s full and effective participation and equal opportunities for leadership. 
GHG Reduction;Transport Logistics;+ ; +2 ;Aids the achievement of another target. Providing access to electricity reinforces water‐pumping and irrigation systems. Strengthening the capacity to adapt to climate‐related hazards reduces losses caused by disasters. 
GHG Reduction;Hydrogen Distribution;+ ; +1 ;Creates conditions that further another target. Providing electricity access in rural homes enables education, because it makes it possible to do homework at night with electric lighting. 
GHG Reduction;Net-Zero Technology - Road Vehicles;+ ; +1 ;Creates conditions that further another target. Providing electricity access in rural homes enables education, because it makes it possible to do homework at night with electric lighting. 
GHG Reduction;Net-Zero Technology - Maritime Transport;+ ; +1 ;Creates conditions that further another target. Providing electricity access in rural homes enables education, because it makes it possible to do homework at night with electric lighting. 
GHG Reduction;Net-Zero Technology - Aviation;+ ; +1 ;Creates conditions that further another target. Providing electricity access in rural homes enables education, because it makes it possible to do homework at night with electric lighting. 
GHG Reduction;Biofuels;+ ; +1 ;Creates conditions that further another target. Providing electricity access in rural homes enables education, because it makes it possible to do homework at night with electric lighting. 
GHG Reduction;Other Low-Carbon Fuels;+ ; +1 ;Creates conditions that further another target. Providing electricity access in rural homes enables education, because it makes it possible to do homework at night with electric lighting. 
GHG Reduction;Hydrogen Distribution;+ ; +1 ;Creates conditions that further another target. Providing electricity access in rural homes enables education, because it makes it possible to do homework at night with electric lighting. 
GHG Reduction;Urban Mobility;+ ; +1 ;Creates conditions that further another target. Providing electricity access in rural homes enables education, because it makes it possible to do homework at night with electric lighting. 
GHG Reduction;Transport Logistics;+ ; +1 ;Creates conditions that further another target. Providing electricity access in rural homes enables education, because it makes it possible to do homework at night with electric lighting. 
Waste Reduction;Waste Reduction - Municipal Waste;+ ; +3 ;Inextricably linked to the achievement of another target. Ending all forms of discrimination against women and girls is indivisible from ensuring women’s full and effective participation and equal opportunities for leadership. 
Waste Reduction;Waste Reduction - Food Waste;+ ; +2 ;Aids the achievement of another target. Providing access to electricity reinforces water‐pumping and irrigation systems. Strengthening the capacity to adapt to climate‐related hazards reduces losses caused by disasters. 
Waste Reduction;Circularity/Recycling;+ ; +1 ;Creates conditions that further another target. Providing electricity access in rural homes enables education, because it makes it possible to do homework at night with electric lighting. 
Waste Reduction;Circularity/Recycling - Municipal Waste;+ ; +1 ;Creates conditions that further another target. Providing electricity access in rural homes enables education, because it makes it possible to do homework at night with electric lighting. 
Waste Reduction;Circularity/Recycling - Textile Waste;+ ; +1 ;Creates conditions that further another target. Providing electricity access in rural homes enables education, because it makes it possible to do homework at night with electric lighting. 
Waste Reduction;Circularity/Recycling - Plastic & Packaging;+ ; +1 ;Creates conditions that further another target. Providing electricity access in rural homes enables education, because it makes it possible to do homework at night with electric lighting. 
Waste Reduction;Circularity/Recycling - Vehicle Circularity;+ ; +1 ;Creates conditions that further another target. Providing electricity access in rural homes enables education, because it makes it possible to do homework at night with electric lighting. 
Waste Reduction;Circularity/Recycling - Critical Raw Materials - Batteries Recycling;+ ; +1 ;Creates conditions that further another target. Providing electricity access in rural homes enables education, because it makes it possible to do homework at night with electric lighting. 
Critical Raw Materials;Critical Raw Materials - Extraction & Import;+ ; +2 ;Aids the achievement of another target. Providing access to electricity reinforces water‐pumping and irrigation systems. Strengthening the capacity to adapt to climate‐related hazards reduces losses caused by disasters. 
Net-Zero Technology - Manufacturing;+ ; +1 ;Creates conditions that further another target. Providing electricity access in rural homes enables education, because it makes it possible to do homework at night with electric lighting.
