source_subtheme;impact_subtheme;impact_type;impact_weight ;justification 
GHG Reduction;Improve Air Quality ;+ ;+3 ;The implementation of the GHG reduction target can positively influence the Improve Air Quality subtheme by reducing emissions and improving air quality, which in turn can aid in achieving the target of improving air quality.
GHG Reduction ;Improve Water Quality ;+ ; +2 ;The GHG reduction target can reinforce the Improve Water Quality subtheme by reducing emissions and improving water quality, which can aid in achieving the target of improving water quality.
GHG Reduction ;Improve Soils Health ;+ ; +1 ;The GHG reduction target can enable the Improve Soils Health subtheme by reducing emissions and improving soil health, which can aid in achieving the target of improving soil health.
GHG Reduction ;Noise Reduction ;+ ; -1 ;The GHG reduction target can constrain the Noise Reduction subtheme by reducing emissions and improving noise reduction, which can limit options for noise reduction.
GHG Reduction ;Social Security - Sanitation ;+ ; -2 ;The GHG reduction target can counteract the Social Security - Sanitation subtheme by reducing emissions and improving social security and sanitation, which can clash with the options for social security and sanitation.
Forest Bioeconomy ;Improve Air Quality ;+ ; +3 ;The Forest Bioeconomy subtheme can positively influence the Improve Air Quality subtheme by providing sustainable forest management practices and reducing emissions, which can aid in achieving the target of improving air quality.
Forest Bioeconomy ;Improve Water Quality ;+ ; +2 ;The Forest Bioeconomy subtheme can reinforce the Improve Water Quality subtheme by providing sustainable forest management practices and reducing emissions, which can aid in achieving the target of improving water quality.
Forest Bioeconomy ;Improve Soils Health ;+ ; +1 ;The Forest Bioeconomy subtheme can enable the Improve Soils Health subtheme by providing sustainable forest management practices and reducing emissions, which can aid in achieving the target of improving soil health.
Forest Bioeconomy ;Noise Reduction ;+ ; -1 ;The Forest Bioeconomy subtheme can constrain the Noise Reduction subtheme by providing sustainable forest management practices and reducing emissions, which can limit options for noise reduction.
Forest Bioeconomy ;Social Security - Sanitation ;+ ; -2 ;The Forest Bioeconomy subtheme can counteract the Social Security - Sanitation subtheme by providing sustainable forest management practices and reducing emissions, which can clash with the options for social security and sanitation.
Terrestrial Ecosystems Restoration ;Improve Air Quality ;+ ; +3 ;The Terrestrial Ecosystems Restoration subtheme can positively influence the Improve Air Quality subtheme by restoring ecosystems and reducing emissions, which can aid in achieving the target of improving air quality.
Terrestrial Ecosystems Restoration ;Improve Water Quality ;+ ; +2 ;The Terrestrial Ecosystems Restoration subtheme can reinforce the Improve Water Quality subtheme by restoring ecosystems and reducing emissions, which can aid in achieving the target of improving water quality.
Terrestrial Ecosystems Restoration ;Improve Soils Health ;+ ; +1 ;The Terrestrial Ecosystems Restoration subtheme can enable the Improve Soils Health subtheme by restoring ecosystems and reducing emissions, which can aid in achieving the target of improving soil health.
Terrestrial Ecosystems Restoration ;Noise Reduction ;+ ; -1 ;The Terrestrial Ecosystems Restoration subtheme can constrain the Noise Reduction subtheme by restoring ecosystems and reducing emissions, which can limit options for noise reduction.
Terrestrial Ecosystems Restoration ;Social Security - Sanitation ;+ ; -2 ;The Terrestrial Ecosystems Restoration subtheme can counteract the Social Security - Sanitation subtheme by restoring ecosystems and reducing emissions, which can clash with the options for social security and sanitation.
Marine Ecosystem Restoration ;Improve Air Quality ;+ ; +3 ;The Marine Ecosystem Restoration subtheme can positively influence the Improve Air Quality subtheme by restoring ecosystems and reducing emissions, which can aid in achieving the target of improving air quality.
Marine Ecosystem Restoration ;Improve Water Quality ;+ ; +2 ;The Marine Ecosystem Restoration subtheme can reinforce the Improve Water Quality subtheme by restoring ecosystems and reducing emissions, which can aid in achieving the target of improving water quality.
Marine Ecosystem Restoration ;Improve Soils Health ;+ ; +1 ;The Marine Ecosystem Restoration subtheme can enable the Improve Soils Health subtheme by restoring ecosystems and reducing emissions, which can aid in achieving the target of improving soil health.
Marine Ecosystem Restoration ;Noise Reduction ; + ; -1 ;The Marine Ecosystem Restoration subtheme can constrain the Noise Reduction subtheme by restoring ecosystems and reducing emissions, which can limit options for noise reduction.
Marine Ecosystem Restoration ;Social Security - Sanitation ;+ ; -2 ;The Marine Ecosystem Restoration subtheme can counteract the Social Security - Sanitation subtheme by restoring ecosystems and reducing emissions, which can clash with the options for social security and sanitation.
Biodiversity Protection & Conservation ;Improve Air Quality ;+ ; +3 ;The Biodiversity Protection & Conservation subtheme can positively influence the Improve Air Quality subtheme by protecting and conserving biodiversity, which can aid in achieving the target of improving air quality.
Biodiversity Protection & Conservation ;Improve Water Quality ;+ ; +2 ;The Biodiversity Protection & Conservation subtheme can reinforce the Improve Water Quality subtheme by protecting and conserving biodiversity, which can aid in achieving the target of improving water quality.
