source_subtheme;impact_subtheme;impact_type;impact_weight ;justification 
GHG Reduction;Net-Zero Technology - Road Vehicles ;+ ;+3 ;Inextricably linked to the achievement of another target. Ending all forms of discrimination against women and girls is indivisible from ensuring women’s full and effective participation and equal opportunities for leadership. 
GHG Reduction;Improve Air Quality ;+ ; +2 ;Aids the achievement of another target. Providing access to electricity reinforces water‐pumping and irrigation systems. Strengthening the capacity to adapt to climate‐related hazards reduces losses caused by disasters. 
GHG Reduction;Improve Water Quality ;+ ; +1 ;Creates conditions that further another target. Providing electricity access in rural homes enables education, because it makes it possible to do homework at night with electric lighting. 
GHG Reduction;Noise Reduction ;+ ; +1 ;Creates conditions that further another target. Improved water efficiency can constrain agricultural irrigation. Reducing climate change can constrain the options for energy access. 
GHG Reduction;Social Security - Sanitation ;+ ; +1 ;Creates conditions that further another target. Boosting consumption for growth can counteract waste reduction and climate mitigation. 
Net-Zero Technology - Road Vehicles;Net-Zero Technology - Maritime Transport ;+ ; +2 ;Aids the achievement of another target. Providing access to electricity reinforces water‐pumping and irrigation systems. Strengthening the capacity to adapt to climate‐related hazards reduces losses caused by disasters. 
Net-Zero Technology - Road Vehicles;Improve Air Quality ;+ ; +1 ;Creates conditions that further another target. Improved water efficiency can constrain agricultural irrigation. Reducing climate change can constrain the options for energy access. 
Net-Zero Technology - Road Vehicles;Improve Water Quality ;+ ; +1 ;Creates conditions that further another target. Providing electricity access in rural homes enables education, because it makes it possible to do homework at night with electric lighting. 
Net-Zero Technology - Road Vehicles;Noise Reduction ;+ ; +1 ;Creates conditions that further another target. Improved water efficiency can constrain agricultural irrigation. Reducing climate change can constrain the options for energy access. 
Net-Zero Technology - Road Vehicles;Social Security - Sanitation ;+ ; +1 ;Creates conditions that further another target. Boosting consumption for growth can counteract waste reduction and climate mitigation. 
Net-Zero Technology - Maritime Transport;Net-Zero Technology - Aviation ;+ ; +2 ;Aids the achievement of another target. Providing access to electricity reinforces water‐pumping and irrigation systems. Strengthening the capacity to adapt to climate‐related hazards reduces losses caused by disasters. 
Net-Zero Technology - Maritime Transport;Improve Air Quality ;+ ; +1 ;Creates conditions that further another target. Improved water efficiency can constrain agricultural irrigation. Reducing climate change can constrain the options for energy access. 
Net-Zero Technology - Maritime Transport;Improve Water Quality ;+ ; +1 ;Creates conditions that further another target. Providing electricity access in rural homes enables education, because it makes it possible to do homework at night with electric lighting. 
Net-Zero Technology - Maritime Transport;Noise Reduction ;+ ; +1 ;Creates conditions that further another target. Improved water efficiency can constrain agricultural irrigation. Reducing climate change can constrain the options for energy access. 
Net-Zero Technology - Maritime Transport;Social Security - Sanitation ;+ ; +1 ;Creates conditions that further another target. Boosting consumption for growth can counteract waste reduction and climate mitigation. 
Biofuels;Other Low-Carbon Fuels ;+ ; +2 ;Aids the achievement of another target. Providing access to electricity reinforces water‐pumping and irrigation systems. Strengthening the capacity to adapt to climate‐related hazards reduces losses caused by disasters. 
Biofuels;Hydrogen Distribution ;+ ; +1 ;Creates conditions that further another target. Improved water efficiency can constrain agricultural irrigation. Reducing climate change can constrain the options for energy access. 
Biofuels;Urban Mobility ;+ ; +1 ;Creates conditions that further another target. Providing electricity access in rural homes enables education, because it makes it possible to do homework at night with electric lighting. 
Biofuels;Transport Logistics ;+ ; +1 ;Creates conditions that further another target. Improved water efficiency can constrain agricultural irrigation. Reducing climate change can constrain the options for energy access. 
Forest Bioeconomy;Improve Air Quality ;+ ; +2 ;Aids the achievement of another target. Providing access to electricity reinforces water‐pumping and irrigation systems. Strengthening the capacity to adapt to climate‐related hazards reduces losses caused by disasters. 
Forest Bioeconomy;Improve Water Quality ;+ ; +1 ;Creates conditions that further another target. Improved water efficiency can constrain agricultural irrigation. Reducing climate change can constrain the options for energy access. 
Forest Bioeconomy;Noise Reduction ;+ ; +1 ;Creates conditions that further another target. Improved water efficiency can constrain agricultural irrigation. Reducing climate change can constrain the options for energy access. 
Forest Bioeconomy;Social Security - Sanitation ;+ ; +1 ;Creates conditions that further another target. Boosting consumption for growth can counteract waste reduction and climate mitigation.
