source_subtheme;impact_subtheme;impact_type;impact_weight ;justification 
GHG Reduction;Energy Efficiency - Buildings;+ ;+3 ;Inextricably linked to the achievement of another target. 
Renewable Energy - Solar ;Renewable Energy - Hydrogen Production ;+ ; +2 ;Aids the achievement of another target. 
Renewable Energy - Ocean/Offshore ;Renewable Energy - Solar ;+ ; +1 ;Creates conditions that further another target. 
Energy Efficiency ;Energy Infrastructure ;- ; -1 ;Limits options on another target. 
Renewable Energy - Heating & Cooling ;Renewable Energy - Hydrogen Production ;- ; -2 ;Clashes with another target. 
Renewable Energy - Ocean/Offshore ;Renewable Energy - Solar ;- ; -3 ;Makes it impossible to reach another goal. 
Renewable Energy ;Renewable Energy - Solar ;+ ; +1 ;Enables education, because it makes it possible to do homework at night with electric lighting. 
Renewable Energy - Hydrogen Production ;Renewable Energy - Ocean/Offshore ;+ ; +2 ;Reinforcing. 
Renewable Energy - Solar ;Renewable Energy - Hydrogen Production ;+ ; +3 ;Indivisible. 
Energy Efficiency - Buildings ;Energy Infrastructure ;+ ; +1 ;Enabling. 
Renewable Energy - Ocean/Offshore ;Renewable Energy - Solar ;- ; -1 ;Constraining. 
Renewable Energy - Hydrogen Production ;Renewable Energy - Ocean/Offshore ;- ; -2 ;Counteracting. 
Renewable Energy ;Renewable Energy - Solar ;- ; -3 ;Cancelling. 
Renewable Energy - Solar ;Renewable Energy - Hydrogen Production ;+ ; +1 ;Enabling. 
Renewable Energy - Ocean/Offshore ;Renewable Energy - Solar ;+ ; +2 ;Reinforcing. 
Renewable Energy - Hydrogen Production ;Renewable Energy - Ocean/Offshore ;+ ; +3 ;Indivisible. 
Energy Efficiency ;Energy Infrastructure ;+ ; +1 ;Enabling. 
Renewable Energy - Ocean/Offshore ;Renewable Energy - Solar ;- ; -1 ;Constraining. 
Renewable Energy - Hydrogen Production ;Renewable Energy - Ocean/Offshore ;- ; -2 ;Counteracting. 
Renewable Energy ;Renewable Energy - Solar ;- ; -3 ;Cancelling. 
Renewable Energy - Solar ;Renewable Energy - Hydrogen Production ;+ ; +1 ;Enabling. 
Renewable Energy - Ocean/Offshore ;Renewable Energy - Solar ;+ ; +2 ;Reinforcing. 
Renewable Energy - Hydrogen Production ;Renewable Energy - Ocean/Offshore ;+ ; +3 ;Indivisible. 
Energy Efficiency ;Energy Infrastructure ;+ ; +1 ;Enabling. 
Renewable Energy - Ocean/Offshore ;Renewable Energy - Solar ;- ; -1 ;Constraining. 
Renewable Energy - Hydrogen Production ;Renewable Energy - Ocean/Offshore ;- ; -2 ;Counteracting. 
Renewable Energy ;Renewable Energy - Solar ;- ; -3 ;Cancelling. 
Renewable Energy - Solar ;Renewable Energy - Hydrogen Production ;+ ; +1 ;Enabling. 
Renewable Energy - Ocean/Offshore ;Renewable Energy - Solar ;+ ; +2 ;Reinforcing. 
Renewable Energy - Hydrogen Production ;Renewable Energy - Ocean/Offshore ;+ ; +3 ;Indivisible. 
Energy Efficiency ;Energy Infrastructure ;+ ; +1 ;Enabling. 
Renewable Energy - Ocean/Offshore ;Renewable Energy - Solar ;- ; -1 ;Constraining. 
Renewable Energy - Hydrogen Production ;Renewable Energy - Ocean/Offshore ;- ; -2 ;Counteracting. 
Renewable Energy ;Renewable Energy - Solar ;- ; -3 ;Cancelling. 
Renewable Energy - Solar ;Renewable Energy - Hydrogen Production ;+ ; +1 ;Enabling. 
Renewable Energy - Ocean/Offshore ;Renewable Energy - Solar ;+ ; +2 ;Reinforcing. 
Renewable Energy - Hydrogen Production ;Renewable Energy - Ocean/Offshore ;+ ; +3 ;Indivisible. 
Energy Efficiency ;Energy Infrastructure ;+ ; +1 ;Enabling. 
Renewable Energy - Ocean/Offshore ;Renewable Energy - Solar ;- ; -1 ;Constraining. 
Renewable Energy - Hydrogen Production ;Renewable Energy - Ocean/Offshore ;- ; -2 ;Counteracting. 
Renewable Energy ;Renewable Energy - Solar ;- ; -3 ;Cancelling. 
Renewable Energy - Solar ;Renewable Energy - Hydrogen Production ;+ ; +1 ;Enabling. 
Renewable Energy - Ocean/Offshore ;Renewable Energy - Solar ;+ ; +2 ;Reinforcing. 
Renewable Energy - Hydrogen Production ;Renewable Energy - Ocean/Offshore ;+ ; +3 ;Indivisible. 
Energy Efficiency ;Energy Infrastructure ;+ ; +1 ;Enabling. 
Renewable Energy - Ocean/Offshore ;Renewable Energy - Solar ;- ; -1 ;Constraining. 
Renewable Energy - Hydrogen Production ;Renewable Energy - Ocean/Offshore ;- ; -2 ;Counteracting. 
Renewable Energy ;Renewable Energy - Solar ;- ; -3 ;Cancelling. 
Renewable Energy - Solar ;Renewable Energy - Hydrogen Production ;+ ; +1 ;Enabling. 
Renewable Energy - Ocean/Offshore ;Renewable Energy - Solar ;+ ; +2 ;Reinforcing. 
Renewable Energy - Hydrogen Production ;Renewable Energy - Ocean/Offshore ;+ ; +3 ;Indivisible. 
Energy Efficiency ;Energy Infrastructure ;+ ; +1 ;Enabling. 
Renewable Energy - Ocean/Offshore ;Renewable Energy - Solar ;- ; -1 ;Constraining. 
Renewable Energy - Hydrogen Production ;Renewable Energy - Ocean/Offshore ;- ; -2 ;Counteracting. 
Renewable Energy ;Renewable Energy - Solar ;- ; -3 ;Cancelling. 
Renewable Energy - Solar ;Renewable Energy - Hydrogen Production ;+ ; +1 ;Enabling. 
Renewable Energy - Ocean
