source_subtheme;impact_subtheme;impact_type;impact_weight ;justification
GHG Reduction;Improve Air Quality ;+ ; +3 ;The implementation of the GHG reduction target can positively influence the Improve Air Quality subtheme by reducing emissions and improving air quality, which in turn can aid in achieving the air quality target.
GHG Reduction ;Improve Water Quality ; + ; +2 ;The GHG reduction target can reinforce the Improve Water Quality subtheme by reducing emissions and improving water quality, which can aid in achieving the water quality target.
GHG Reduction ;Improve Soils Health ; + ; +1 ;The GHG reduction target can enable the Improve Soils Health subtheme by reducing emissions and improving soil health, which can aid in achieving the soil health target.
GHG Reduction ;Noise Reduction ; + ; +1 ;The GHG reduction target can enable the Noise Reduction subtheme by reducing emissions and improving noise reduction, which can aid in achieving the noise reduction target.
GHG Reduction ;Social Security - Sanitation ; + ; +1 ;The GHG reduction target can enable the Social Security - Sanitation subtheme by reducing emissions and improving sanitation, which can aid in achieving the sanitation target.
Waste Reduction ;Waste Reduction - Municipal Waste ; - ; -1 ;The Waste Reduction subtheme can be constrained by the Waste Reduction - Municipal Waste subtheme, as reducing waste can limit options for municipal waste management.
Waste Reduction ;Waste Reduction - Food Waste ; - ; -1 ;The Waste Reduction subtheme can be constrained by the Waste Reduction - Food Waste subtheme, as reducing waste can limit options for food waste management.
Waste Reduction ;Waste Reduction - Plastic & Packaging ; - ; -1 ;The Waste Reduction subtheme can be constrained by the Waste Reduction - Plastic & Packaging subtheme, as reducing waste can limit options for plastic and packaging waste management.
Circularity/Recycling ;Circularity/Recycling - Municipal Waste ; - ; -1 ;The Circularity/Recycling subtheme can be constrained by the Circularity/Recycling - Municipal Waste subtheme, as increasing recycling can limit options for municipal waste management.
Circularity/Recycling ;Circularity/Recycling - Textile Waste ; - ; -1 ;The Circularity/Recycling subtheme can be constrained by the Circularity/Recycling - Textile Waste subtheme, as increasing recycling can limit options for textile waste management.
Circularity/Recycling ;Circularity/Recycling - Plastic & Packaging ; - ; -1 ;The Circularity/Recycling subtheme can be constrained by the Circularity/Recycling - Plastic & Packaging subtheme, as increasing recycling can limit options for plastic and packaging waste management.
Circularity/Recycling ;Circularity/Recycling - Plastic & Packaging - Bio-based plastics ; - ; -1 ;The Circularity/Recycling subtheme can be constrained by the Circularity/Recycling - Plastic & Packaging - Bio-based plastics subtheme, as increasing recycling can limit options for bio-based plastics waste management.
Circularity/Recycling ;Circularity/Recycling - Vehicle Circularity ; - ; -1 ;The Circularity/Recycling subtheme can be constrained by the Circularity/Recycling - Vehicle Circularity subtheme, as increasing recycling can limit options for vehicle waste management.
Circularity/Recycling ;Circularity/Recycling - Critical Raw Materials - Batteries Recycling ; - ; -1 ;The Circularity/Recycling subtheme can be constrained by the Circularity/Recycling - Critical Raw Materials - Batteries Recycling subtheme, as increasing recycling can limit options for batteries waste management.
Critical Raw Materials ;Critical Raw Materials - Extraction & Import ; - ; -1 ;The Critical Raw Materials subtheme can be constrained by the Critical Raw Materials - Extraction & Import subtheme, as increasing extraction and import can limit options for raw material supply.
Net-Zero Technology ;Net-Zero Technology - Manufacturing ; - ; -1 ;The Net-Zero Technology subtheme can be constrained by the Net-Zero Technology - Manufacturing subtheme, as increasing manufacturing can limit options for net-zero technology production.
