TA1.1;Climate Neutrality (2040 target under discussion);TA1_Climate ambition;Setting Climate Targets;This target is assigned to the sub-theme "Setting Climate Targets" because it discusses the climate neutrality target for 2040.; 
TA1.5;CBAM;TA1_Climate ambition;Carbon Pricing;This target is assigned to the sub-theme "Carbon Pricing" because it mentions the Carbon Border Adjustment Mechanism (CBAM).; 
TA1.13;For the period from 2021 to 2025 each Member State shall ensure that greenhouse gas emissions  from the sector do not exceed greenhouse gas removals, calculated as the sum of total emissions and total removals on its territory in all of the land accounting categories (no debit rule).;TA1_Climate ambition;Greenhouse Gas Emissions Reduction;This target is assigned to the sub-theme "Greenhouse Gas Emissions Reduction" because it discusses the reduction of greenhouse gas emissions.; 
TA2.2;Set up at least one renewables-based energy community in every municipality with a population higher than 10.000;TA2_Clean, affordable and secure energy;Renewable Energy Communities;This target is assigned to the sub-theme "Renewable Energy Communities" because it discusses setting up renewables-based energy communities.; 
TA2.3;Member States shall ensure that the contribution of renewable fuels of non-biological origin used for final energy and non-energy purposes shall be at least 42 % of the hydrogen used for final energy and non-energy purposes in industry by 2030, and 60 % by 2035;TA2_Clean, affordable and secure energy;Hydrogen Production;This target is assigned to the sub-theme "Hydrogen Production" because it discusses the contribution of renewable fuels of non-biological origin to hydrogen production.; 
TA2.5;Bring online over 320 GW of solar photovoltaic by 2025 and 600 GW by 2030;TA2_Clean, affordable and secure energy;Solar Energy;This target is assigned to the sub-theme "Solar Energy" because it discusses the installation of solar photovoltaic capacity.; 
TA2.11;By 31 December 2025, each Member State shall agree to establish a framework for cooperation on joint projects with one or more other Member States for the production of renewable energy, subject to the following: by 31 December 2030, Member States shall endeavour to agree on establishing at least two joint projects;TA2_Clean, affordable and secure energy;Renewable Energy Cooperation;This target is assigned to the sub-theme "Renewable Energy Cooperation" because it discusses cooperation on joint projects for renewable energy production.; 
TA2.12;Member States shall endeavour to increase the share of renewable sources in the amount of energy sources used for final energy and non-energy purposes in the industry sector by an indicative increase of at least 1,6 percentage points as an annual average calculated for the periods 2021 to 2025 and 2026 to 2030.;TA2_Clean, affordable and secure energy;Renewable Energy Integration;This target is assigned to the sub-theme "Renewable Energy Integration" because it discusses increasing the share of renewable sources in the industry sector.; 
TA2.21;Member States shall ensure that the total final energy consumption of all public bodies combined is reduced by at least 1,9 % each year, when compared to 2021;TA2_Clean, affordable and secure energy;Energy Efficiency;This target is assigned to the sub-theme "Energy Efficiency" because it discusses reducing energy consumption.; 
TA2.23;Member States shall make efforts to collectively contribute to the indicative Union primary energy consumption target amounting to no more than 992,5 Mtoe in 2030;TA2_Clean, affordable and secure energy;Energy Consumption Reduction;This target is assigned to the sub-theme "Energy Consumption Reduction" because it discusses reducing primary energy consumption.; 
TA2.25;Reduce buildings' final energy consumption by 14%;TA2_Clean, affordable and secure energy;Building Energy Efficiency;This target is assigned to the sub-theme "Building Energy Efficiency" because it discusses reducing buildings' energy consumption.; 
TA2.26;At least double the annual energy renovation rate of residential and non-residential buildings by 2030 and to foster deep energy renovations;TA2_Clean, affordable and secure energy;Building Renovation;This target is assigned to the sub-theme "Building Renovation" because it discusses increasing the energy renovation rate of buildings.; 
TA2.27;Indicative national targets aiming to achieve the deep renovation of at least 35 million building units by 2030 to support reaching an annual energy renovation rate of 3 % or more for the period till 2050;TA2_Clean, affordable and secure energy;Building Renovation;This target is assigned to the sub-theme "Building Renovation" because it discusses deep renovation of building units.; 
TA2.30;The revised directive will make zero-emission buildings the new standard for new buildings.;TA2_Clean, affordable and secure energy;Zero-Emission Buildings;This target is assigned to the sub-theme "Zero-Emission Buildings" because it discusses making zero-emission buildings the new standard.; 
