```csv
target_code;target_content;thematic_area;sub_theme;justification
TA4.3;The yearly average GHG intensity of the energy used on board by a ship during a reporting period shall be reduced, compared to the reference value (91.16 gCO2e/MJ) by: 2% from 1 January 2025, 6% from 1 January 2030, 14.5% from 1 January 2035, 31% from 1 January 2040, 62% from 1 January 2045, 80% from 1 January 2050.;TA4_Sustainable and smart mobility;Maritime Emissions Reduction;This target focuses on reducing greenhouse gas emissions from ships, which is a key aspect of sustainable maritime transport.
TA3.8;By 2030, Union extraction capacity should be able of extracting the ores, minerals or concentrates needed to produce at least 10% of the Union’s annual consumption of strategic raw materials, to the extent possible in light of the Union’s reserves.;TA3_Industrial strategy for a clean and circular economy;Raw Materials Extraction;This target addresses the extraction of strategic raw materials, which is crucial for supporting industrial activities and reducing dependency on external sources.
TA2.17;A target of 15% electricity interconnection for 2030;TA2_Clean, affordable and secure energy;Energy Interconnection;This target aims to enhance electricity interconnection, which is vital for energy security and integration across the EU.
TA1.9;EU ETS. The contribution of the sectors covered by the existing EU Emission trading System (EU ETS) with respect to the EU Climate ambition should be of -62% compared to 2005 (increasing the linear emissions reduction factor from 2.2% per year up to 4.4%), by 2030;TA1_Climate ambition;Emission Trading Systems;This target is directly related to the EU Emission Trading System, which is a market-based approach to controlling pollution by providing economic incentives for reducing emissions.
TA6.36;(urban ecosystems) By 2030, Member States shall ensure that there is no net loss in the total national area of urban green space, and of urban tree canopy cover in urban ecosystem areas. Member States may exclude from that total national area the urban ecosystem areas in which the share of urban green space in the urban centres and urban clusters exceeds 45% and the share of urban tree canopy cover therein exceeds 10%.;TA6_Preserving and protecting biodiversity;Urban Green Spaces;This target focuses on maintaining urban green spaces and tree canopy cover, which are essential for urban biodiversity and ecosystem services.
TA3.16;Producers of portable batteries or, where appointed in accordance with Article 57(1), producer responsibility organisations, shall attain, and maintain durably, at least the following collection targets for waste portable batteries: - 45% by 31 December 2023, - 63% by 31 December 2027, - 73% by 31 December 2030.;TA3_Industrial strategy for a clean and circular economy;Battery Recycling;This target sets collection targets for waste portable batteries, emphasizing the importance of recycling in the circular economy.
TA5.35;Preparedness, shock resilience, adaptation and transformation: Strengthen the resilience of the EU food system. Build up resilience to climate change, possible future diseases and pandemics. Increasing the sustainability of food producers will ultimately increase their resilience.;TA5_Greening the Common Agricultural Policy - Farm to Fork Strategy;Food System Resilience;This target focuses on enhancing the resilience of the EU food system to climate change and other shocks, which is crucial for sustainable agriculture.
TA7.6;Improve soil quality by reducing chemical pesticides’ use by 50%, by 2030;TA7_Towards a zero-pollution ambition for a toxic free environment;Soil Quality Improvement;This target aims to improve soil quality by reducing pesticide use, which is essential for achieving a toxic-free environment.
TA2.25;Reduce buildings’ final energy consumption by 14%.;TA2_Clean, affordable and secure energy;Energy Efficiency in Buildings;This target focuses on reducing energy consumption in buildings, which is a key aspect of improving energy efficiency.
TA5.23;Employment and working conditions: Create new job opportunities. Improve working conditions, ensure occupation health and safety.;TA5_Greening the Common Agricultural Policy - Farm to Fork Strategy;Employment and Working Conditions;This target addresses the creation of job opportunities and improvement of working conditions, which are important for the social aspect of sustainable agriculture.
