```csv
target_code;target_content;thematic_area;sub_theme;justification
TA2.39;The strategy sets targets for an installed capacity of at least 1 GW of ocean energy by 2030 and 40 GW by 2050;TA2_Clean, affordable and secure energy;Ocean Energy;This target focuses on the development and installation of ocean energy capacity, which is a specific type of renewable energy.
TA6.33;Terrestrial, coastal and freshwater ecosystems. Member States shall put in place the restoration measures for the terrestrial, coastal and freshwater habitats of the species listed in Annexes II, IV and V to Directive 92/43/EEC and of the terrestrial, coastal and freshwater habitats of wild birds covered by Directive 2009/147/EC [...] to improve the quality and quantity of those habitats, including by re-establishing them, and to enhance connectivity, until sufficient quality and quantity of those habitats is achieved.;TA6_Preserving and protecting biodiversity;Habitat Restoration;This target is about restoring and improving the quality and connectivity of various habitats, which is central to habitat restoration efforts.
TA3.9;By 2030, Union processing capacity, including for all intermediate processing steps, should be able of producing at least 40% of the Union’s annual consumption of strategic raw materials.;TA3_Industrial strategy for a clean and circular economy;Strategic Raw Materials;The target emphasizes increasing the processing capacity for strategic raw materials, which is crucial for ensuring a sustainable supply chain.
TA5.31;Properties of food: Increase reformulation of food products in line with guidelines for healthy and sustainable diets;TA5_Greening the Common Agricultural Policy - Farm to Fork Strategy;Food Reformulation;This target focuses on reformulating food products to align with health and sustainability guidelines, which is a key aspect of food reformulation.
TA2.29;Member states will have to renovate 16% of worst- performing non-residential buildings by 2030 and, by 2033, the worst-performing 26% through minimum energy performance requirements.;TA2_Clean, affordable and secure energy;Building Renovation;The target addresses the renovation of non-residential buildings to improve energy performance, which is a core component of building renovation.
TA3.18;For industrial batteries with a capacity greater than 2kWh, except those with exclusively external storage, electric vehicle batteries and starting, lighting and ignition batteries that contain cobalt, lead, lithium or nickel in active materials, the minimum recycled content percentage for each battery model per year and per manufacturing plant shall be: From 18 August 2031, 16% cobalt, 85% lead, 6% lithium, and 6% nickel, From 18 August 2036, 26% cobalt, 85% lead, 12% lithium, and 15% nickel.;TA3_Industrial strategy for a clean and circular economy;Battery Recycling;This target sets specific recycled content requirements for industrial batteries, highlighting the importance of recycling in battery production.
TA2.10;Member States shall set an indicative target for innovative renewable energy technology of at least 5% of newly installed renewable energy capacity by 2030.;TA2_Clean, affordable and secure energy;Innovative Renewable Energy;The target promotes the adoption of innovative renewable energy technologies, which is essential for advancing the renewable energy sector.
TA5.30;Food affordability: Ensure affordability to sufficient, nutritious and sustainable food;TA5_Greening the Common Agricultural Policy - Farm to Fork Strategy;Food Affordability;This target aims to ensure that food remains affordable while being nutritious and sustainable, which is a key aspect of food affordability.
TA6.15;13. The losses of nutrients from fertilisers are reduced by 50%, resulting in the reduction of the use of fertilisers by at least 20%*;TA6_Preserving and protecting biodiversity;Nutrient Management;The target focuses on reducing nutrient losses from fertilizers, which is a critical component of nutrient management.
TA3.50;Member States shall ensure that the following targets are met by the waste management operators: (a) the reuse and recovery, as calculated together, shall be a minimum of 95 %, by average weight per vehicle, excluding batteries, and year, (b) the reuse and recycling, as calculated together, shall be a minimum of 85 %, by average weight per vehicle, excluding batteries, and year.;TA3_Industrial strategy for a clean and circular economy;Vehicle Recycling;This target sets specific reuse and recycling targets for vehicles, emphasizing the importance of recycling in the automotive sector.
