target_code;target_content;NACE_level1;NACE_level1_extra1;NACE_level1_extra2;NACE_level2;NACE_level2_extra1;NACE_level2_extra2;NACE_level_3;NACE_level_3_extra1;NACE level3_extra2;justification;confidence_score
TA1.1;Climate Neutrality (2040 target under discussion);D - Electricity, Gas, Steam and Air Conditioning Supply;C - Manufacturing;H - Transportation and Storage;D35 - Electricity, gas, steam and air conditioning supply;C29 - Manufacture of motor vehicles, trailers and semi-trailers;H49 - Land transport and transport via pipelines;D35.1 - Electric power generation, transmission and distribution;C29.1 - Manufacture of motor vehicles;H49.1 - Passenger rail transport, interurban;This target involves broad sectors related to emissions and energy, primarily focusing on energy supply, manufacturing, and transportation services.;8
TA1.10;The total quantity of allowances for the new emissions trading system should follow a linear trajectory to reach the emission reduction target for 2030, taking into account the cost-efficient contribution of the buildings and road transport sectors of 43 % emission reductions by 2030 compared to 2005 and of the additional sectors, a combined cost-efficient contribution of 42 % emission reductions by 2030 compared to 2005.;F - Construction;H - Transportation and Storage;M - Professional, Scientific and Technical Activities;F41 - Construction of buildings;H49 - Land transport and transport via pipelines;M71 - Architectural and engineering activities;F41.1 - Development of building projects;H49.5 - Transport via pipeline;M71.1 - Architectural and engineering activities and related technical consultancy;The target requires emission reductions across buildings and transport, implicating the construction and transportation industries, along with technical consultancy for effective implementation.;9
TA1.11;Upgrade national targets in line with an EU-wide reduction of 40% in the ESR sectors compared to 2005. Member States contribute to the overall EU reduction in 2030 with targets ranging from -10% to -50% below 2005 level (sectors: transport, buildings, agriculture and waste);H - Transportation and Storage;F - Construction;A - Agriculture, Forestry and Fishing;H49 - Land transport and transport via pipelines;F41 - Construction of buildings;A1 - Crop and animal production, hunting and related service activities;H49.4 - Freight transport by road and removal services;F41.2 - Construction of residential and non-residential buildings;A1.4 - Animal production;This target primarily affects sectors involved in transportation, construction, agriculture, and waste management, aiming for significant emission reductions.;8
TA1.12;Achieve an EU net greenhouse gas removal of 310 million tonnes CO2 equivalent per year for the land use, land use change and forestry (LULUCF) sector;A - Agriculture, Forestry and Fishing;E - Water Supply, Sewerage, Waste Management and Remediation Activities;;A2 - Forestry and logging;E38 - Waste collection, treatment and disposal activities, materials recovery;;A2.1 - Silviculture and other forestry activities;E38.1 - Waste collection;;The focus on land use and forestry directly implicates the agriculture and waste management sectors.;9
TA1.13;For the period from 2021 to 2025 each Member State shall ensure that greenhouse gas emissions from the sector do not exceed greenhouse gas removals, calculated as the sum of total emissions and total removals on its territory in all of the land accounting categories (no debit rule). The accounting benchmark for the EU is ca. -229 Mt CO2e/yr for 2021-2025.;A - Agriculture, Forestry and Fishing;E - Water Supply, Sewerage, Waste Management and Remediation Activities;;A1 - Crop and animal production, hunting and related service activities;E38 - Waste collection, treatment and disposal activities, materials recovery;;A1.1 - Growing of non-perennial crops;E38.2 - Waste treatment and disposal;;The emphasis on balancing emissions and removals highlights the role of agriculture and waste management in achieving this objective.;8
TA1.14;Each Member State shall ensure that the annual sum of its greenhouse gas emissions and removals on its territory and in all of the land reporting categories, in each year in the period from 2026 to 2030, does not exceed the limit established by a linear trajectory, ending in 2030 on the target set out for that Member State (no debit rule);A - Agriculture, Forestry and Fishing;E - Water Supply, Sewerage, Waste Management and Remediation Activities;;A1 - Crop and animal production, hunting and related service activities;E38 - Waste collection, treatment and disposal activities, materials recovery;;A1.2 - Growing of perennial crops;E38.3 - Materials recovery;;The focus is on managing emissions and removals across land categories, primarily affecting agriculture and waste sectors.;8
TA1.15;Reduce buildings’ greenhouse gas emissions by 60%, compared to 2015 levels, by 2030;F - Construction;M - Professional, Scientific and Technical Activities;;F41 - Construction of buildings;M71 - Architectural and engineering activities;;F41.2 - Construction of residential and non-residential buildings;M71.1 - Architectural and engineering activities and related technical consultancy;;This target is directly related to the construction sector and involves technical activities for improving building efficiency.;9
TA1.16;To achieve 55% reduction of GHG emission by 2030, methane emissions related to energy production and consumption should be reduced by 58% compared to the level in 2020;D - Electricity, Gas, Steam and Air Conditioning Supply;C - Manufacturing;B - Mining and Quarrying;D35 - Electricity, gas, steam and air conditioning supply;C19 - Manufacture of coke and refined petroleum products;B6 - Extraction of crude petroleum and natural gas;D35.2 - Manufacture of gas, distribution of gaseous fuels through mains;C19.2 - Manufacture of refined petroleum products;B6.2 - Extraction of natural gas;The target is focused on reducing methane emissions, primarily affecting the energy production and manufacturing sectors.;9
TA1.2;2040 target under discussion;;;;;;;The target is currently under discussion, with no specific content provided to assign NACE categories.;5;;;
TA1.3;Reduce of 55% GHG emissions compared to 1990 levels (2040 target under discussion);D - Electricity, Gas, Steam and Air Conditioning Supply;C - Manufacturing;H - Transportation and Storage;D35 - Electricity, gas, steam and air conditioning supply;C29 - Manufacture of motor vehicles, trailers and semi-trailers;H49 - Land transport and transport via pipelines;D35.1 - Electric power generation, transmission and distribution;C29.1 - Manufacture of motor vehicles;H49.1 - Passenger rail transport, interurban;This broad target involves major sectors contributing to emissions, including energy, manufacturing, and transport.;8
TA1.4;Achieve a climate-resilient society status, fully adapted to the unavoidable impacts of climate change;M - Professional, Scientific and Technical Activities;F - Construction;E - Water Supply, Sewerage, Waste Management and Remediation Activities;M72 - Scientific research and development;F43 - Specialised construction activities;E36 - Water collection, treatment and supply;M72.1 - Research and experimental development on natural sciences and engineering;F43.2 - Electrical, plumbing and other construction installation activities;E36.0 - Water collection, treatment and supply;This target requires scientific and technical expertise, specialized construction, and water management to achieve climate resilience.;7
TA1.5;CBAM;C - Manufacturing;;D - Electricity, Gas, Steam and Air Conditioning Supply;C24 - Manufacture of basic metals;;D35 - Electricity, gas, steam and air conditioning supply;C24.1 - Manufacture of basic iron and steel and of ferro-alloys;;;The Carbon Border Adjustment Mechanism (CBAM) will primarily affect manufacturing sectors, especially those involved in heavy industries like steel.;8
TA1.6;Recast;M - Professional, Scientific and Technical Activities;;G - Wholesale and Retail Trade, Repair of Motor Vehicles and Motorcycles;M69 - Legal and accounting activities;;G45 - Wholesale and retail trade and repair of motor vehicles and motorcycles;M69.1 - Legal activities;;;"The term ""Recast"" implies changes in regulatory frameworks, involving legal and trade sectors.";6
TA1.7;Reduce methane emissions of 35% if compared to 2005 levels;D - Electricity, Gas, Steam and Air Conditioning Supply;B - Mining and Quarrying;C - Manufacturing;D35 - Electricity, gas, steam and air conditioning supply;B6 - Extraction of crude petroleum and natural gas;C19 - Manufacture of coke and refined petroleum products;D35.2 - Manufacture of gas, distribution of gaseous fuels through mains;B6.2 - Extraction of natural gas;C19.2 - Manufacture of refined petroleum products;This target involves reducing methane emissions, which are primarily associated with energy production and extraction activities.;9
TA1.8;Reach energy neutrality in the wastewater treatment sector by 2040. To reach energy neutrality and the additional treatment of nitrogen, GHG emissions would be reduced by 4.86 million tonnes (37.32 % of the avoidable emissions from the sector);E - Water Supply, Sewerage, Waste Management and Remediation Activities;D - Electricity, Gas, Steam and Air Conditioning Supply;;E37 - Sewerage;D35 - Electricity, gas, steam and air conditioning supply;;E37.0 - Sewerage;D35.3 - Steam and air conditioning supply;;The target focuses on wastewater treatment, directly involving sewerage and energy supply sectors.;9
TA1.9;The contribution of the sectors covered by the EU ETS with respect to the EU Climate ambition should be of -62 % compared to 2005 (increasing the linear emissions reduction factor from 2.2 % per year up to 4.4 %);D - Electricity, Gas, Steam and Air Conditioning Supply;C - Manufacturing;H - Transportation and Storage;D35 - Electricity, gas, steam and air conditioning supply;C29 - Manufacture of motor vehicles, trailers and semi-trailers;H49 - Land transport and transport via pipelines;D35.1 - Electric power generation, transmission and distribution;C29.1 - Manufacture of motor vehicles;H49.1 - Passenger rail transport, interurban;The EU Emissions Trading System (ETS) involves key sectors under its regulation, primarily energy, manufacturing, and transport.;9
