target_code;target_content;NACE_level1;NACE_level1_extra1;NACE_level1_extra2;NACE_level2;NACE_level2_extra1;NACE_level2_extra2;NACE_level_3;NACE_level_3_extra1;NACE_level3_extra2;justification;confidence_score;
TA1.1;Climate Neutrality (2040 target under discussion);D - Electricity, Gas, Steam and Air Conditioning Supply;C - Manufacturing;H - Transportation and Storage;D35 - Electricity, gas, steam and air conditioning supply;C30 - Manufacture of other transport equipment;H52 - Warehousing and support activities for transportation;D35.1 - Electric power generation, transmission and distribution;C30.9 - Manufacture of transport equipment n.e.c.;H52.2 - Support activities for transportation;The target encompasses broad sectors like energy, manufacturing, and transportation to reach climate neutrality.;7;
TA1.10;The total quantity of allowances for the new emissions trading system should follow a linear trajectory to reach the emission reduction target for 2030...;D - Electricity, Gas, Steam and Air Conditioning Supply;F - Construction;H - Transportation and Storage;D35 - Electricity, gas, steam and air conditioning supply;F41 - Construction of buildings;H49 - Land transport and transport via pipelines;D35.1 - Electric power generation, transmission and distribution;F41.1 - Development of building projects;H49.5 - Transport via pipeline;The sectors involved in emissions trading systems include energy, construction, and transport for effective GHG reduction.;8;
TA1.11;Upgrade national targets in line with an EU-wide reduction of 40% in the ESR sectors compared to 2005...;H - Transportation and Storage;F - Construction;A - Agriculture, Forestry and Fishing;H49 - Land transport and transport via pipelines;F42 - Civil engineering;A1 - Crop and animal production, hunting and related service activities;H49.5 - Transport via pipeline;F42.1 - Construction of roads and railways;A1.1 - Growing of non-perennial crops;This target involves reducing emissions from key sectors such as transportation, construction, and agriculture.;8;
TA1.12;Achieve an EU net greenhouse gas removal of 310 million tonnes CO2 equivalent per year for the LULUCF sector;A - Agriculture, Forestry and Fishing;E - Water Supply, Sewerage, Waste Management and Remediation Activities;Q - Human Health and Social Work Activities;A2 - Forestry and logging;E39 - Remediation activities and other waste management services;Q87 - Residential care activities;A2.1 - Silviculture and other forestry activities;E39.0 - Remediation activities and other waste management services;Q87.9 - Other residential care activities;The LULUCF sector is directly related to agriculture and forestry, with remediation activities playing a supportive role.;9;
TA1.13;For the period from 2021 to 2025 each Member State shall ensure that greenhouse gas emissions from the sector do not exceed greenhouse gas removals...;A - Agriculture, Forestry and Fishing;E - Water Supply, Sewerage, Waste Management and Remediation Activities;Q - Human Health and Social Work Activities;A2 - Forestry and logging;E39 - Remediation activities and other waste management services;Q87 - Residential care activities;A2.1 - Silviculture and other forestry activities;E39.0 - Remediation activities and other waste management services;Q87.9 - Other residential care activities;The focus is on maintaining a balance of emissions and removals, primarily involving agriculture, forestry, and remediation.;8;
TA1.14;Each Member State shall ensure that the annual sum of its greenhouse gas emissions and removals on its territory...;A - Agriculture, Forestry and Fishing;E - Water Supply, Sewerage, Waste Management and Remediation Activities;Q - Human Health and Social Work Activities;A2 - Forestry and logging;E39 - Remediation activities and other waste management services;Q87 - Residential care activities;A2.1 - Silviculture and other forestry activities;E39.0 - Remediation activities and other waste management services;Q87.9 - Other residential care activities;The target is focused on balancing emissions and removals, emphasizing agriculture, forestry, and remediation.;8;
TA1.15;Reduce buildings’ greenhouse gas emissions by 60%, compared to 2015 levels, by 2030;F - Construction;D - Electricity, Gas, Steam and Air Conditioning Supply;H - Transportation and Storage;F41 - Construction of buildings;F43 - Specialised construction activities;D35 - Electricity, gas, steam and air conditioning supply;F41.2 - Construction of residential and non-residential buildings;F43.3 - Building completion and finishing;D35.1 - Electric power generation, transmission and distribution;The target is specific to the construction sector, focusing on reducing emissions from buildings.;9;
TA1.16;To achieve 55% reduction of GHG emission by 2030, methane emissions related to energy production and consumption should be reduced by 58%...;D - Electricity, Gas, Steam and Air Conditioning Supply;B - Mining and Quarrying;C - Manufacturing;D35 - Electricity, gas, steam and air conditioning supply;B6 - Extraction of crude petroleum and natural gas;C19 - Manufacture of coke and refined petroleum products;D35.2 - Manufacture of gas, distribution of gaseous fuels through mains;B6.1 - Extraction of crude petroleum;C19.2 - Manufacture of refined petroleum products;This target relates to the energy sector, specifically focusing on reducing methane emissions from energy production.;8;
TA1.2;2040 target under discussion;; ; ; ; ; ; ; ; ; ;Without specific content, a precise NACE categorization is not possible.;0
TA1.3;Reduce of 55% GHG emissions compared to 1990 levels (2040 target under discussion);H - Transportation and Storage;D - Electricity, Gas, Steam and Air Conditioning Supply;C - Manufacturing;H49 - Land transport and transport via pipelines;D35 - Electricity, gas, steam and air conditioning supply;C10 - Manufacture of food products;H49.3 - Other passenger land transport;D35.1 - Electric power generation, transmission and distribution;C10.8 - Manufacture of other food products;This overarching target impacts multiple sectors, including transportation, energy production, and manufacturing.;7;
