TA1.1;The European Union has set a target to achieve climate neutrality by 2050;TA2.1;+
TA1.1;The European Union has set a target to achieve climate neutrality by 2050;TA2.2;+
TA1.1;The European Union has set a target to achieve climate neutrality by 2050;TA2.3;+
TA1.2;A 2040 target under discussion;TA2.4;+
TA1.3;Reduce of 55% GHG emissions compared to 1990 levels (2040 target under discussion);TA2.5;+
TA1.4;Achieve a climate-resilient society status, fully adapted to the unavoidable impacts of climate change;TA2.6;+
TA1.5;CBAM;TA2.7;+
TA1.6;Recast;TA2.8;+
TA1.7;Reduce methane emissions of 35% if compared to 2005 levels;TA2.9;+
TA1.8;Reach energy neutrality in the wastewater treatment sector by 2040. To reach energy neutrality and the additional treatment of nitrogen, GHG emissions would be reduced by 4,86 million tonnes (37,32 % of the avoidable emissions from the sector);TA2.10;+
TA1.9;The contribution of the sectors covered by the EU ETS with respect to the EU Climate ambition should be of -62 % compared to 2005 (increasing the linear emissions reduction factor from 2.2 % per year up to 4.4 %);TA2.11;+
TA1.10;The total quantity of allowances for the new emissions trading system should follow a linear trajectory to reach the emission reduction target for 2030, taking into account the cost-efficient contribution of the buildings and road transport sectors of 43 % emission reductions by 2030 compared to 2005 and of the additional sectors, a combined cost-efficient contribution of 42 % emission reductions by 2030 compared to 2005.;TA2.12;+
TA1.11;Upgrade national targets in line with an EU-wide reduction of 40% in the ESR sectors compared to 2005. Member States contribute to the overall EU reduction in 2030 with targets ranging from -10% to -50% below 2005 level (sectors: transport, buildings, agriculture and waste);TA2.13;+
TA1.12;Achieve an EU net greenhouse gas removal of 310 million tonnes CO2 equivalent per year for the land use, land use change and forestry (LULUCF) sector, and Member State-specific targets for 2030 summing up to -42 MtCO2e increase in LULUCF sink between 2016-2018 and 2030.;TA2.14;+
TA1.13;For the period from 2021 to 2025, each Member State shall ensure that greenhouse gas emissions from the sector do not exceed greenhouse gas removals, calculated as the sum of total emissions and total removals on its territory in all of the land accounting categories (no debit rule).;TA2.15;+
TA1.14;Each Member State shall ensure that the annual sum of its greenhouse gas emissions and removals on its territory and in all of the land reporting categories, in each year in the period from 2026 to 2030, does not exceed the limit established by a linear trajectory, ending in 2030 on the target set out for that Member State(no debit rule);TA2.16;+
TA1.15;Reduce buildings’ greenhouse gas emissions by 60%, compared to 2015 levels, by 2030;TA2.17;+
TA1.16;To achieve 55% reduction of GHG emission by 2030, methane emissions related to energy production and consumption should be reduced by 58% compared to the level in 2020;TA2.18;+
TA1.17;The fisheries sector must follow the two mutually reinforcing paths of reducing energy intensity, on the one hand, and switching to renewable and low-carbon energy sources, on the other hand;TA2.19;+
