source_subtheme;source_subtheme_targets;impact_subtheme;impact_type;impact_weight;justification
Biodiversity Protection & Conservation;TA5.11,TA5.15,TA6.1,TA6.14,TA6.17,TA6.3,TA6.43,TA6.5,TA6.58,TA6.62,TA6.8;Food quality;+2;Reinforcing;The protection of biodiversity can aid in the preservation of ecosystems that provide food and support the development of sustainable agriculture, which in turn can improve food quality by promoting more diverse and resilient food systems.
Biodiversity Protection & Conservation;TA5.11,TA5.15,TA6.1,TA6.14,TA6.17,TA6.3,TA6.43,TA6.5,TA6.58,TA6.62,TA6.8;Food affordability;+1;Enabling;Conservation efforts can help maintain ecosystem services, such as pollination and pest control, which are essential for food production and can contribute to more affordable food options by reducing the need for external inputs like pesticides and fertilizers.
Terrestrial Ecosystems Restoration - Agricultural Ecosystems;TA5.9,TA6.10,TA6.47,TA6.48;Food quality;+2;Reinforcing;Restoring agricultural ecosystems can enhance soil health, biodiversity, and ecosystem services, leading to improved crop yields and quality, which in turn can contribute to better food quality.
Terrestrial Ecosystems Restoration - Agricultural Ecosystems;TA5.9,TA6.10,TA6.47,TA6.48;Food affordability;+1;Enabling;Sustainable agricultural practices, facilitated by ecosystem restoration, can increase efficiency and reduce costs, making food more affordable while also promoting environmental sustainability.
Biodiversity Protection & Conservation - Fisheries;TA5.6,TA6.18,TA6.27,TA6.28;Food quality - Healthy Food;+2;Reinforcing;Sustainable fishing and aquaculture practices, supported by biodiversity conservation, can provide healthier food options by reducing the environmental impact of fishing and promoting more resilient and diverse marine ecosystems.
Biodiversity Protection & Conservation - Urban Nature;TA6.16,TA6.39,TA6.40,TA6.41;Food affordability;+1;Enabling;Urban nature conservation can support local food systems by preserving green spaces for community gardens and urban agriculture, enhancing food security and affordability in urban areas.
Marine Ecosystem Restoration;TA6.2,TA6.33,TA6.44,TA6.45;Food quality - Animal Welfare;+1;Enabling;Restoring marine ecosystems can help maintain the health and biodiversity of marine species, which can improve the welfare of animals in these ecosystems and contribute to more sustainable and humane food production practices.
Pesticides Reduction;TA5.2,TA5.4,TA5.5,TA6.26,TA6.9,TA7.21;Food quality;+2;Reinforcing;Reducing pesticide use can decrease the amount of harmful chemicals in food, improving its quality and safety for consumption, while also protecting biodiversity and ecosystem health.
Competitive Agriculture;TA5.12,TA5.14,TA5.20,TA5.21,TA5.23;Food affordability;+1;Enabling;Promoting competitive agriculture can lead to more efficient and sustainable farming practices, potentially reducing costs and increasing food availability, which can make food more affordable for consumers.
Social Security - Workers Protection;TA4.53,TA5.16,TA5.17,TA5.18,TA5.24;Food quality - Healthy Food;+1;Enabling;Protecting workers' rights and promoting fair labor standards in the food industry can contribute to better working conditions, which in turn can lead to improved food quality and safety by reducing the risk of contamination and increasing the motivation of workers to follow best practices.
