source_subtheme;source_subtheme_targets;impact_subtheme;impact_type;impact_weight;justification
GHG Reduction;TA1.3,TA1.7,TA1.9,TA1.11,TA1.13,TA5.7;Improve Air Quality;+2;The reduction of greenhouse gas emissions can lead to improved air quality by decreasing the amount of pollutants released into the atmosphere, which in turn can aid in achieving better air quality.; 
GHG Reduction;TA1.3,TA1.7,TA1.9,TA1.11,TA1.13,TA5.7;Improve Water Quality;+1;Reducing GHG emissions can create conditions that further improve water quality by reducing the amount of pollutants that enter water bodies, enabling better water management practices.; 
Net-Zero Technology - Road Vehicles;TA4.13,TA4.22,TA4.25,TA4.26,TA4.27,TA4.28,TA4.29,TA4.40,TA4.44,TA4.45,TA4.55;Improve Air Quality;+3;The promotion of zero-emission vehicles can directly lead to improved air quality by reducing emissions from transportation, which is indivisible from achieving better air quality.; 
Net-Zero Technology - Road Vehicles;TA4.13,TA4.22,TA4.25,TA4.26,TA4.27,TA4.28,TA4.29,TA4.40,TA4.44,TA4.45,TA4.55;Improve Water Quality;-1;While electric vehicles can improve air quality, their production and the extraction of materials for batteries can constrain water quality due to potential pollution from mining and industrial processes.; 
Biofuels;TA4.1,TA4.18,TA4.7;Improve Air Quality;-2;The use of biofuels can counteract efforts to improve air quality if their production and combustion release significant amounts of pollutants, potentially worsening air quality.; 
Other Low-Carbon Fuels;TA4.4,TA4.5,TA4.6;Improve Air Quality;+1;Promoting other low-carbon fuels can create conditions that further improve air quality by offering alternatives to fossil fuels that release fewer emissions, thus enabling a cleaner environment.; 
Hydrogen Distribution;TA4.23,TA4.30,TA4.31;Improve Air Quality;+2;The development of hydrogen distribution infrastructure can aid in improving air quality by facilitating the use of hydrogen as a clean energy carrier, which reinforces efforts to reduce air pollution.; 
Urban Mobility;TA4.54;Improve Air Quality;+2;Encouraging active and sustainable urban mobility can aid in improving air quality by reducing the reliance on polluting transportation modes, which reinforces air quality improvement efforts.; 
Transport Logistics;TA4.11,TA4.36,TA4.37,TA4.39,TA4.43,TA4.50,TA4.51,TA4.56;Improve Air Quality;+1;Efficient transport logistics can create conditions that further improve air quality by optimizing routes and reducing fuel consumption, thus lowering emissions.; 
Rail;TA4.37,TA4.38,TA4.40;Improve Air Quality;+2;Promoting rail transport can aid in improving air quality by offering a less polluting alternative to road transport, which reinforces air quality improvement efforts.; 
